tick,pop,avg_dist_to_food,agents_at_food
185,199,54.0,1
186,199,53.9,1
187,199,54.1,1
188,200,54.1,1
189,200,54.1,2
190,199,54.2,2
191,200,54.3,1
192,199,54.3,1
193,200,54.1,1
194,200,54.1,1
195,200,54.1,1
196,200,54.1,1
197,200,54.1,1
198,200,54.1,1
199,200,54.1,1
200,200,54.1,1
201,200,54.1,1
202,200,54.1,1
203,200,54.1,1
204,200,54.1,1
205,200,54.1,1
206,200,54.1,1
207,200,54.1,1
208,200,54.1,1
209,199,54.2,1
210,200,54.4,1
211,200,54.4,1
212,200,54.4,1
213,200,54.4,1
214,200,54.4,1
215,200,54.4,1
216,199,54.6,1
217,199,54.9,1
218,198,55.0,1
219,200,55.0,1
220,199,55.0,1
221,198,54.9,1
222,200,54.8,1
223,200,54.8,1
224,200,54.8,1
225,200,54.8,1
226,200,54.8,1
227,200,54.8,1
228,200,54.8,1
229,200,54.8,1
230,200,54.8,1
231,200,54.9,1
232,200,54.9,1
233,200,54.9,1
234,200,54.9,1
235,200,54.9,1
236,199,55.1,1
237,199,55.3,1
238,200,55.4,1
239,200,55.4,1
240,200,55.4,1
241,200,55.4,1
242,200,55.4,1
243,200,55.4,1
244,200,55.4,1
245,200,55.4,1
246,200,55.4,1
247,200,55.5,1
248,200,55.5,1
249,200,55.5,1
250,200,55.5,1
251,200,55.5,1
252,199,55.7,1
253,200,55.6,1
254,200,55.6,1
255,200,55.6,1
256,200,55.6,1
257,200,55.6,1
258,199,55.6,1
259,199,55.6,1
260,200,55.7,1
261,200,55.7,1
262,200,55.7,1
263,200,55.7,1
264,200,55.7,1
265,200,55.7,1
266,200,55.7,1
267,200,55.7,1
268,199,55.9,1
269,199,55.8,1
270,200,56.0,1
271,200,56.0,1
272,199,56.1,1
273,200,55.9,0
274,200,55.9,0
275,199,55.7,0
276,200,55.8,0
277,200,55.8,0
278,200,55.8,0
279,200,55.8,0
280,200,55.8,0
281,200,55.8,0
282,200,55.8,0
283,199,55.8,0
284,200,55.9,0
