tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
248,20,180,0,0.580,0
249,20,180,0,0.580,0
250,20,180,0,0.580,0
251,20,180,0,0.580,0
252,20,180,0,0.580,0
253,20,180,0,0.580,0
254,20,180,0,0.580,0
255,20,180,0,0.580,0
256,20,180,0,0.580,0
257,20,180,0,0.580,0
258,20,180,0,0.580,0
259,20,180,0,0.580,0
260,20,180,0,0.580,0
261,20,180,0,0.580,0
262,20,180,0,0.580,0
263,20,180,0,0.580,0
264,20,180,0,0.580,0
265,20,180,0,0.580,0
266,20,180,0,0.580,0
267,20,180,0,0.580,0
268,20,180,0,0.580,0
269,20,180,0,0.580,0
270,20,180,0,0.580,0
271,20,180,0,0.580,0
272,20,180,0,0.580,0
273,20,180,0,0.580,0
274,20,180,0,0.580,0
275,20,180,0,0.580,0
276,20,180,0,0.580,0
277,20,180,0,0.580,0
278,20,180,0,0.580,0
279,20,180,0,0.580,0
280,20,180,0,0.580,0
281,20,180,0,0.580,0
282,20,180,0,0.580,0
283,20,180,0,0.580,0
284,20,180,0,0.580,0
285,20,180,0,0.580,0
286,20,180,0,0.580,0
287,20,180,0,0.580,0
288,20,180,0,0.580,0
289,20,180,0,0.580,0
290,20,180,0,0.580,0
291,20,180,0,0.580,0
292,20,180,0,0.580,0
293,20,180,0,0.580,0
294,20,180,0,0.580,0
295,20,180,0,0.580,0
296,20,180,0,0.580,0
297,20,180,0,0.580,0
298,20,180,0,0.580,0
299,20,180,0,0.580,0
300,20,180,0,0.580,0
301,20,180,0,0.580,0
302,20,180,0,0.580,0
303,20,180,0,0.580,0
304,20,180,0,0.580,0
305,20,180,0,0.580,0
306,20,180,0,0.580,0
307,20,180,0,0.580,0
308,20,180,0,0.580,0
309,20,180,0,0.580,0
310,20,180,0,0.580,0
311,20,180,0,0.580,0
312,20,180,0,0.580,0
313,20,180,0,0.580,0
314,20,180,0,0.580,0
315,20,180,0,0.580,0
316,20,180,0,0.580,0
317,20,180,0,0.580,0
318,20,180,0,0.580,0
319,20,180,0,0.580,0
320,20,180,0,0.580,0
321,20,180,0,0.580,0
322,20,180,0,0.580,0
323,20,180,0,0.580,0
324,20,180,0,0.580,0
325,20,180,0,0.580,0
326,20,180,0,0.580,0
327,20,180,0,0.580,0
328,20,180,0,0.580,0
329,20,180,0,0.580,0
330,20,180,0,0.580,0
331,20,180,0,0.580,0
332,20,180,0,0.580,0
333,20,180,0,0.580,0
334,20,180,0,0.580,0
335,20,180,0,0.580,0
336,20,180,0,0.580,0
337,20,180,0,0.580,0
338,20,180,0,0.580,0
339,20,180,0,0.580,0
340,20,180,0,0.580,0
341,20,180,0,0.580,0
342,20,180,0,0.580,0
343,20,180,0,0.580,0
344,20,180,0,0.580,0
345,20,180,0,0.580,0
346,20,180,0,0.580,0
347,20,180,0,0.580,0
348,20,180,0,0.580,0
349,20,180,0,0.580,0
350,20,180,0,0.580,0
351,20,180,0,0.580,0
352,20,180,0,0.580,0
353,20,180,0,0.580,0
354,20,180,0,0.580,0
355,20,180,0,0.580,0
356,20,180,0,0.580,0
357,20,180,0,0.580,0
358,20,180,0,0.580,0
359,20,180,0,0.580,0
360,20,180,0,0.580,0
361,20,180,0,0.580,0
362,20,180,0,0.580,0
363,20,180,0,0.580,0
364,20,180,0,0.580,0
365,20,180,0,0.580,0
366,20,180,0,0.580,0
367,20,180,0,0.580,0
368,20,180,0,0.580,0
369,20,180,0,0.580,0
370,20,180,0,0.580,0
371,20,180,0,0.580,0
372,20,180,0,0.580,0
373,20,180,0,0.580,0
374,20,180,0,0.580,0
375,20,180,0,0.580,0
376,20,180,0,0.580,0
377,20,180,0,0.580,0
378,20,180,0,0.580,0
379,20,180,0,0.580,0
380,20,180,0,0.580,0
381,20,180,0,0.580,0
382,20,180,0,0.580,0
383,20,180,0,0.580,0
384,20,180,0,0.580,0
385,20,180,0,0.580,0
386,20,180,0,0.580,0
387,20,180,0,0.580,0
388,20,180,0,0.580,0
389,20,180,0,0.580,0
390,20,180,0,0.580,0
391,20,180,0,0.580,0
392,20,180,0,0.580,0
393,20,180,0,0.580,0
394,20,180,0,0.580,0
395,20,180,0,0.580,0
396,20,180,0,0.580,0
397,20,180,0,0.580,0
398,20,180,0,0.580,0
399,20,180,0,0.580,0
400,20,180,0,0.580,0
401,20,180,0,0.580,0
402,20,180,0,0.580,0
403,20,180,0,0.580,0
404,20,180,0,0.580,0
405,20,180,0,0.580,0
406,20,180,0,0.580,0
407,20,180,0,0.580,0
408,20,180,0,0.580,0
409,20,180,0,0.580,0
410,20,180,0,0.580,0
411,20,180,0,0.580,0
412,20,180,0,0.580,0
413,20,180,0,0.580,0
414,20,180,0,0.580,0
415,20,180,0,0.580,0
416,20,180,0,0.580,0
417,20,180,0,0.580,0
418,20,180,0,0.580,0
419,20,180,0,0.580,0
420,20,180,0,0.580,0
421,20,180,0,0.580,0
422,20,180,0,0.580,0
423,20,180,0,0.580,0
424,20,180,0,0.580,0
425,20,180,0,0.580,0
426,20,180,0,0.580,0
427,20,180,0,0.580,0
428,20,180,0,0.580,0
429,20,180,0,0.580,0
430,20,180,0,0.580,0
431,20,180,0,0.580,0
432,20,180,0,0.580,0
433,20,180,0,0.580,0
434,20,180,0,0.580,0
435,20,180,0,0.580,0
436,20,180,0,0.580,0
437,20,180,0,0.580,0
438,20,180,0,0.580,0
439,20,180,0,0.580,0
440,20,180,0,0.580,0
441,20,180,0,0.580,0
442,20,180,0,0.580,0
443,20,180,0,0.580,0
444,20,180,0,0.580,0
445,20,180,0,0.580,0
446,20,180,0,0.580,0
447,20,180,0,0.580,0
448,20,180,0,0.580,0
449,20,180,0,0.580,0
450,20,180,0,0.580,0
451,20,180,0,0.580,0
452,20,180,0,0.580,0
453,20,180,0,0.580,0
454,20,180,0,0.580,0
455,20,180,0,0.580,0
456,20,180,0,0.580,0
457,20,180,0,0.580,0
458,20,180,0,0.580,0
459,20,180,0,0.580,0
460,20,180,0,0.580,0
461,20,180,0,0.580,0
462,20,180,0,0.580,0
463,20,180,0,0.580,0
464,20,180,0,0.580,0
465,20,180,0,0.580,0
466,20,180,0,0.580,0
467,20,180,0,0.580,0
468,20,180,0,0.580,0
469,20,180,0,0.580,0
470,20,180,0,0.580,0
471,20,180,0,0.580,0
472,20,180,0,0.580,0
473,20,180,0,0.580,0
474,20,180,0,0.580,0
475,20,180,0,0.580,0
476,20,180,0,0.580,0
477,20,180,0,0.580,0
478,20,180,0,0.580,0
479,20,180,0,0.580,0
480,20,180,0,0.580,0
481,20,180,0,0.580,0
482,20,180,0,0.580,0
483,20,180,0,0.580,0
484,20,180,0,0.580,0
485,20,180,0,0.580,0
486,20,180,0,0.580,0
487,20,180,0,0.580,0
488,20,180,0,0.580,0
489,20,180,0,0.580,0
490,20,180,0,0.580,0
491,20,180,0,0.580,0
492,20,180,0,0.580,0
493,20,180,0,0.580,0
494,20,180,0,0.580,0
495,20,180,0,0.580,0
496,20,180,0,0.580,0
497,20,180,0,0.580,0
498,20,180,0,0.580,0
499,20,180,0,0.580,0
500,20,180,0,0.580,0
501,20,180,0,0.580,0
502,20,180,0,0.580,0
503,20,180,0,0.580,0
504,20,180,0,0.580,0
505,20,180,0,0.580,0
506,20,180,0,0.580,0
507,20,180,0,0.580,0
508,20,180,0,0.580,0
509,20,180,0,0.580,0
510,20,180,0,0.580,0
511,20,180,0,0.580,0
512,20,180,0,0.580,0
513,20,180,0,0.580,0
514,20,180,0,0.580,0
515,20,180,0,0.580,0
516,20,180,0,0.580,0
517,20,180,0,0.580,0
518,20,180,0,0.580,0
519,20,180,0,0.580,0
520,20,180,0,0.580,0
521,20,180,0,0.580,0
522,20,180,0,0.580,0
523,20,180,0,0.580,0
524,20,180,0,0.580,0
525,20,180,0,0.580,0
526,20,180,0,0.580,0
527,20,180,0,0.580,0
528,20,180,0,0.580,0
529,20,180,0,0.580,0
530,20,180,0,0.580,0
531,20,180,0,0.580,0
532,20,180,0,0.580,0
533,20,180,0,0.580,0
534,20,180,0,0.580,0
535,20,180,0,0.580,0
536,20,180,0,0.580,0
537,20,180,0,0.580,0
538,20,180,0,0.580,0
539,20,180,0,0.580,0
540,20,180,0,0.580,0
541,20,180,0,0.580,0
542,20,180,0,0.580,0
543,20,180,0,0.580,0
544,20,180,0,0.580,0
545,20,180,0,0.580,0
546,20,180,0,0.580,0
547,20,180,0,0.580,0
548,20,180,0,0.580,0
549,20,180,0,0.580,0
550,20,180,0,0.580,0
551,20,180,0,0.580,0
552,20,180,0,0.580,0
553,20,180,0,0.580,0
554,20,180,0,0.580,0
555,20,180,0,0.580,0
556,20,180,0,0.580,0
557,20,180,0,0.580,0
558,20,180,0,0.580,0
559,20,180,0,0.580,0
560,20,180,0,0.580,0
561,20,180,0,0.580,0
562,20,180,0,0.580,0
563,20,180,0,0.580,0
564,20,180,0,0.580,0
565,20,180,0,0.580,0
566,20,180,0,0.580,0
567,20,180,0,0.580,0
568,20,180,0,0.580,0
569,20,180,0,0.580,0
570,20,180,0,0.580,0
571,20,180,0,0.580,0
