tick,pop,farms_built,avg_energy
778,160,0,161.0
779,160,0,161.3
780,160,0,161.0
781,160,0,161.3
782,160,0,160.4
783,160,0,160.7
784,160,0,160.3
785,160,0,160.5
786,160,0,159.7
787,160,0,159.3
788,160,0,159.6
789,160,0,159.8
790,160,0,158.9
791,160,0,158.6
792,160,0,158.8
793,160,0,159.1
794,160,0,158.6
795,160,0,158.3
796,160,0,157.9
797,160,0,157.5
798,160,0,157.8
799,160,0,157.4
800,160,0,157.0
801,160,0,156.7
802,160,0,157.0
803,160,0,157.1
804,160,0,156.1
805,160,0,156.4
806,160,0,156.0
807,160,0,155.6
808,160,0,155.8
809,160,0,155.5
810,160,0,155.6
811,160,0,154.7
812,160,0,154.9
813,160,0,155.1
814,160,0,154.1
815,160,0,154.3
816,160,0,154.0
817,160,0,154.2
818,160,0,153.7
819,160,0,153.3
820,160,0,153.5
821,160,0,153.7
822,160,0,152.7
823,160,0,152.9
824,160,0,152.5
825,160,0,152.7
826,160,0,152.2
827,160,0,152.4
828,160,0,152.0
829,160,0,151.6
830,160,0,151.2
831,160,0,151.4
832,160,0,151.5
833,160,0,151.6
834,160,0,150.6
835,160,0,150.2
836,160,0,150.4
837,160,0,150.6
838,160,0,150.1
839,160,0,150.2
840,160,0,149.8
841,160,0,149.4
842,160,0,149.0
843,160,0,149.1
844,160,0,149.3
845,160,0,149.4
846,160,0,148.9
847,160,0,147.9
848,160,0,148.1
849,160,0,148.3
850,160,0,147.8
851,160,0,147.9
852,160,0,148.0
853,160,0,147.6
854,160,0,146.6
855,160,0,146.8
856,160,0,146.9
857,160,0,147.1
858,160,0,146.5
859,160,0,146.7
860,160,0,146.2
861,160,0,145.8
862,160,0,146.0
863,160,0,145.5
864,160,0,145.6
865,160,0,145.7
866,160,0,145.8
867,160,0,144.7
868,160,0,144.8
869,160,0,144.4
870,160,0,144.6
871,160,0,144.7
872,160,0,144.1
873,160,0,144.2
874,160,0,143.8
875,160,0,143.9
876,160,0,143.4
877,160,0,143.5
878,160,0,143.0
879,160,0,143.2
880,160,0,143.2
881,160,0,142.7
882,160,0,142.3
883,160,0,142.4
884,160,0,142.5
885,160,0,142.5
886,160,0,142.0
887,160,0,142.0
888,160,0,141.6
889,160,0,141.6
890,160,0,141.7
891,160,0,140.6
892,160,0,140.7
893,160,0,140.9
894,160,0,140.9
895,160,0,141.0
896,160,0,140.4
897,160,0,140.4
898,160,0,140.5
899,160,0,140.5
900,160,0,139.9
901,160,0,138.8
902,160,0,139.0
903,160,0,139.1
904,160,0,139.2
905,160,0,139.3
906,160,0,139.3
907,160,0,138.7
908,160,0,138.7
909,160,0,138.8
910,160,0,138.7
911,160,0,138.7
912,160,0,138.1
913,160,0,138.1
914,160,0,137.6
915,160,0,137.6
916,160,0,137.6
917,160,0,137.6
918,160,0,137.0
919,160,0,137.1
920,160,0,137.1
921,160,0,137.1
922,160,0,137.0
923,160,0,137.0
924,160,0,136.3
925,160,0,136.3
926,160,0,136.3
927,160,0,136.3
928,160,0,136.2
929,160,0,136.1
930,160,0,135.5
931,160,0,135.4
932,160,0,135.4
933,160,0,135.4
934,160,0,135.3
935,160,0,135.2
936,160,0,135.2
937,160,0,134.5
938,160,0,134.4
939,160,0,134.4
940,160,0,134.4
941,160,0,134.3
942,160,0,134.2
943,160,0,134.1
944,160,0,133.4
945,160,0,133.4
946,160,0,133.4
947,160,0,133.3
948,160,0,133.3
949,160,0,133.2
950,160,0,133.1
951,160,0,132.4
952,160,0,132.4
953,160,0,132.3
954,160,0,132.3
955,160,0,132.2
956,160,0,132.1
957,160,0,132.1
958,160,0,132.0
959,160,0,131.3
960,160,0,131.2
961,160,0,131.2
962,160,0,131.1
963,160,0,131.1
964,160,0,131.0
965,160,0,130.9
966,160,0,130.8
967,160,0,130.1
968,160,0,130.1
969,160,0,130.1
970,160,0,130.0
971,160,0,129.9
972,160,0,129.9
973,160,0,129.8
974,160,0,129.7
975,160,0,129.6
976,160,0,128.9
977,160,0,128.8
978,160,0,128.8
979,160,0,128.8
980,160,0,128.7
981,160,0,128.6
982,160,0,128.5
983,160,0,128.4
984,160,0,128.3
985,160,0,128.2
986,160,0,128.1
987,160,0,127.4
988,160,0,127.4
989,160,0,127.3
990,160,0,127.3
991,160,0,127.2
992,160,0,127.1
993,160,0,127.0
994,160,0,126.9
995,160,0,126.8
996,160,0,126.7
997,160,0,126.6
998,160,0,126.5
999,160,0,126.4
1000,160,0,125.7
