tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff,avg_pred_eff
233,195,50,0.6106,0.4952,1.0370,0.4959
234,191,50,0.6078,0.4952,1.0375,0.4959
235,195,50,0.6079,0.4952,1.0343,0.4959
236,197,50,0.6096,0.4952,1.0340,0.4959
237,196,50,0.6135,0.4952,1.0343,0.4959
238,194,50,0.6200,0.4952,1.0401,0.4959
239,197,50,0.6134,0.4952,1.0369,0.4959
240,191,50,0.6156,0.4952,1.0295,0.4959
241,196,50,0.6178,0.4952,1.0304,0.4959
242,195,50,0.6157,0.4952,1.0288,0.4959
243,195,50,0.6101,0.4952,1.0234,0.4959
244,192,50,0.6076,0.4952,1.0202,0.4959
245,194,50,0.6101,0.4952,1.0236,0.4959
246,196,50,0.6111,0.4952,1.0217,0.4959
247,196,50,0.6158,0.4952,1.0259,0.4959
248,190,50,0.6242,0.4952,1.0258,0.4959
249,193,50,0.6270,0.4952,1.0253,0.4959
250,196,50,0.6318,0.4952,1.0228,0.4959
251,192,50,0.6256,0.4952,1.0237,0.4959
252,196,50,0.6293,0.4952,1.0208,0.4959
253,197,50,0.6291,0.4952,1.0181,0.4959
254,196,50,0.6337,0.4952,1.0223,0.4959
255,196,50,0.6348,0.4952,1.0238,0.4959
256,191,50,0.6382,0.4952,1.0208,0.4959
257,194,50,0.6402,0.4952,1.0234,0.4959
258,194,50,0.6453,0.4952,1.0244,0.4959
259,192,50,0.6485,0.4952,1.0256,0.4959
260,195,50,0.6418,0.4952,1.0204,0.4959
261,196,50,0.6435,0.4952,1.0190,0.4959
262,195,50,0.6515,0.4952,1.0219,0.4959
263,198,50,0.6526,0.4952,1.0256,0.4959
264,195,50,0.6573,0.4952,1.0311,0.4959
265,197,50,0.6626,0.4952,1.0342,0.4959
266,195,50,0.6658,0.4952,1.0319,0.4959
267,196,50,0.6669,0.4952,1.0333,0.4959
268,189,50,0.6663,0.4952,1.0284,0.4959
269,194,50,0.6679,0.4952,1.0237,0.4959
270,193,50,0.6846,0.4952,1.0256,0.4959
271,197,50,0.6832,0.4952,1.0230,0.4959
272,195,50,0.6808,0.4952,1.0226,0.4959
273,199,50,0.6800,0.4952,1.0248,0.4959
274,196,50,0.6813,0.4952,1.0258,0.4959
275,192,50,0.6861,0.4952,1.0272,0.4959
276,195,50,0.6939,0.4952,1.0298,0.4959
277,198,50,0.6935,0.4952,1.0331,0.4959
278,194,50,0.6995,0.4952,1.0350,0.4959
279,197,50,0.7030,0.4952,1.0350,0.4959
280,192,50,0.7101,0.4952,1.0351,0.4959
281,196,50,0.7095,0.4952,1.0378,0.4959
282,198,50,0.7173,0.4952,1.0420,0.4959
283,198,50,0.7137,0.4952,1.0417,0.4959
284,193,50,0.7094,0.4952,1.0380,0.4959
285,194,50,0.7213,0.4952,1.0435,0.4959
286,193,50,0.7195,0.4952,1.0377,0.4959
287,192,50,0.7337,0.4952,1.0402,0.4959
288,197,50,0.7227,0.4952,1.0337,0.4959
289,196,50,0.7154,0.4952,1.0295,0.4959
290,198,50,0.7075,0.4952,1.0246,0.4959
291,193,50,0.7048,0.4952,1.0252,0.4959
292,193,50,0.7049,0.4952,1.0251,0.4959
293,195,50,0.7046,0.4952,1.0245,0.4959
294,191,50,0.7072,0.4952,1.0279,0.4959
295,197,50,0.7129,0.4952,1.0345,0.4959
296,196,50,0.7225,0.4952,1.0415,0.4959
297,197,50,0.7280,0.4952,1.0475,0.4959
298,197,50,0.7290,0.4952,1.0490,0.4959
299,193,50,0.7405,0.4952,1.0501,0.4959
300,195,50,0.7396,0.4952,1.0510,0.4959
301,193,50,0.7558,0.4952,1.0550,0.4959
302,193,50,0.7570,0.4952,1.0493,0.4959
303,195,50,0.7639,0.4952,1.0537,0.4959
304,196,50,0.7671,0.4952,1.0579,0.4959
305,191,50,0.7692,0.4952,1.0645,0.4959
306,196,50,0.7656,0.4952,1.0653,0.4959
307,195,50,0.7702,0.4952,1.0685,0.4959
308,195,50,0.7680,0.4952,1.0696,0.4959
309,196,50,0.7732,0.4952,1.0707,0.4959
310,196,50,0.7743,0.4952,1.0715,0.4959
311,196,50,0.7749,0.4952,1.0729,0.4959
312,196,50,0.7677,0.4952,1.0724,0.4959
313,191,50,0.7612,0.4952,1.0699,0.4959
314,194,50,0.7594,0.4952,1.0702,0.4959
315,197,50,0.7598,0.4952,1.0712,0.4959
316,194,50,0.7490,0.4952,1.0697,0.4959
317,194,50,0.7388,0.4952,1.0624,0.4959
318,195,50,0.7405,0.4952,1.0639,0.4959
319,198,50,0.7418,0.4952,1.0655,0.4959
320,196,50,0.7414,0.4952,1.0641,0.4959
321,194,50,0.7454,0.4952,1.0616,0.4959
322,195,50,0.7424,0.4952,1.0580,0.4959
323,195,50,0.7478,0.4952,1.0575,0.4959
324,197,50,0.7581,0.4952,1.0636,0.4959
325,193,50,0.7588,0.4952,1.0662,0.4959
326,195,50,0.7626,0.4952,1.0667,0.4959
327,197,50,0.7686,0.4952,1.0683,0.4959
328,195,50,0.7670,0.4952,1.0674,0.4959
329,195,50,0.7724,0.4952,1.0672,0.4959
330,195,50,0.7688,0.4952,1.0607,0.4959
331,196,50,0.7795,0.4952,1.0644,0.4959
332,196,50,0.7887,0.4952,1.0697,0.4959
333,197,50,0.7758,0.4952,1.0641,0.4959
334,196,50,0.7785,0.4952,1.0659,0.4959
335,196,50,0.7742,0.4952,1.0668,0.4959
336,195,50,0.7729,0.4952,1.0629,0.4959
337,193,50,0.7727,0.4952,1.0638,0.4959
338,191,50,0.7771,0.4952,1.0637,0.4959
339,194,50,0.7794,0.4952,1.0685,0.4959
340,192,50,0.7883,0.4952,1.0682,0.4959
341,200,50,0.7876,0.4952,1.0720,0.4959
342,195,50,0.7901,0.4952,1.0755,0.4959
343,196,50,0.7900,0.4952,1.0765,0.4959
344,195,50,0.7939,0.4952,1.0757,0.4959
345,194,50,0.7953,0.4952,1.0746,0.4959
346,199,50,0.8005,0.4952,1.0743,0.4959
347,193,50,0.8083,0.4952,1.0742,0.4959
348,192,50,0.8103,0.4952,1.0771,0.4959
349,195,50,0.8067,0.4952,1.0801,0.4959
350,196,50,0.8064,0.4952,1.0831,0.4959
351,196,50,0.8027,0.4952,1.0785,0.4959
352,196,50,0.8022,0.4952,1.0779,0.4959
353,193,50,0.7994,0.4952,1.0771,0.4959
