tick,alpha_dist_center,omega_dist_center,meditators
81,50.51159564596641,9.5,0
82,50.51159564596641,9.5,0
83,50.51159564596641,9.5,0
84,50.51159564596641,9.5,0
85,50.51159564596641,9.5,0
86,50.51159564596641,9.5,0
87,50.51159564596641,9.5,0
88,50.51159564596641,9.5,0
89,50.51159564596641,9.5,0
90,50.51159564596641,9.947368421052632,0
91,50.51159564596641,9.947368421052632,0
92,50.33775877531754,9.722222222222221,0
93,50.181482648186666,9.722222222222221,0
94,50.181482648186666,9.722222222222221,0
95,50.261203835554426,9.722222222222221,0
96,50.261203835554426,9.722222222222221,0
97,50.04680113661456,9.722222222222221,0
98,50.04680113661456,9.722222222222221,0
99,50.05301661735045,9.722222222222221,0
100,50.428103414182125,9.882352941176471,0
101,50.428103414182125,9.882352941176471,0
102,50.90443846239821,9.375,0
103,50.86436903276514,9.375,0
104,52.09331588930874,9.266666666666667,0
105,52.09331588930874,9.285714285714286,0
106,52.09331588930874,10.166666666666666,0
107,51.614272886510264,10.166666666666666,0
108,53.22348411006132,10.166666666666666,0
109,52.58622844826745,10.166666666666666,0
110,52.58622844826745,10.166666666666666,0
111,52.58622844826745,10.909090909090908,0
112,52.58622844826745,12.0,0
113,50.0,12.0,0
114,50.0,11.875,0
115,50.0,11.142857142857142,0
116,50.0,10.5,0
117,50.0,11.8,0
118,50.0,11.8,0
119,50.0,11.8,0
120,50.0,10.75,0
121,50.0,10.75,0
122,50.0,10.75,0
123,50.0,10.75,0
124,50.0,10.75,0
125,50.0,10.75,0
126,50.0,10.75,0
127,50.0,10.75,0
128,50.0,11.666666666666666,0
129,50.0,11.666666666666666,0
130,50.0,11.666666666666666,0
131,50.0,11.666666666666666,0
132,50.0,11.666666666666666,0
133,50.0,11.666666666666666,0
134,50.0,11.666666666666666,0
135,50.0,11.666666666666666,0
136,50.0,11.666666666666666,0
137,50.0,11.666666666666666,0
138,50.0,11.666666666666666,0
139,50.0,11.666666666666666,0
140,50.0,11.666666666666666,0
141,50.0,11.666666666666666,0
142,50.0,11.666666666666666,0
143,50.0,11.666666666666666,0
144,50.0,11.666666666666666,0
145,50.0,11.666666666666666,0
146,50.0,11.666666666666666,0
147,50.0,11.666666666666666,0
148,50.0,11.666666666666666,0
149,50.0,11.666666666666666,0
150,50.0,11.666666666666666,0
151,50.0,11.666666666666666,0
152,50.0,11.666666666666666,0
153,50.0,11.666666666666666,0
154,50.0,11.666666666666666,0
155,50.0,11.666666666666666,0
156,50.0,11.666666666666666,0
157,50.0,11.666666666666666,0
158,50.0,11.666666666666666,0
159,50.0,11.666666666666666,0
160,50.0,11.666666666666666,0
161,50.0,11.666666666666666,0
162,50.0,11.666666666666666,0
163,50.0,11.666666666666666,0
164,50.0,11.666666666666666,0
165,50.0,11.666666666666666,0
166,50.0,11.666666666666666,0
167,50.0,11.666666666666666,0
168,50.0,11.666666666666666,0
169,50.0,11.666666666666666,0
170,50.0,11.666666666666666,0
171,50.0,11.666666666666666,0
172,50.0,11.666666666666666,0
173,50.0,11.666666666666666,0
174,50.0,11.666666666666666,0
175,50.0,11.666666666666666,0
176,50.0,11.666666666666666,0
177,50.0,11.666666666666666,0
178,50.0,11.666666666666666,0
179,50.0,11.666666666666666,0
180,50.0,11.666666666666666,0
181,50.0,11.666666666666666,0
182,50.0,11.666666666666666,0
183,50.0,11.666666666666666,0
184,50.0,11.666666666666666,0
185,50.0,11.666666666666666,0
186,50.0,11.666666666666666,0
187,50.0,11.666666666666666,0
188,50.0,11.666666666666666,0
189,50.0,11.666666666666666,0
190,50.0,11.666666666666666,0
191,50.0,11.666666666666666,0
192,50.0,11.666666666666666,0
193,50.0,11.666666666666666,0
194,50.0,11.666666666666666,0
195,50.0,11.666666666666666,0
196,50.0,11.666666666666666,0
197,50.0,11.666666666666666,0
198,50.0,11.666666666666666,0
199,50.0,11.666666666666666,0
200,50.0,11.666666666666666,0
