tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
174,192,20,0.9007,0.5119,0.8672,0.5181
175,196,20,0.9003,0.5101,0.8672,0.5181
176,196,20,0.9012,0.5140,0.8672,0.5181
177,193,20,0.9008,0.5122,0.8672,0.5181
178,193,20,0.9039,0.5109,0.8672,0.5181
179,195,20,0.9090,0.5113,0.8672,0.5181
180,194,20,0.9096,0.5138,0.8672,0.5181
181,192,20,0.9091,0.5156,0.8672,0.5181
182,198,20,0.9127,0.5162,0.8672,0.5181
183,197,20,0.9147,0.5145,0.8672,0.5181
184,195,20,0.9119,0.5149,0.8672,0.5181
185,195,20,0.9114,0.5156,0.8672,0.5181
186,198,20,0.9129,0.5119,0.8672,0.5181
187,198,20,0.9104,0.5123,0.8672,0.5181
188,195,20,0.9103,0.5145,0.8672,0.5181
189,199,20,0.9103,0.5145,0.8672,0.5181
190,198,20,0.9100,0.5137,0.8672,0.5181
191,196,20,0.9082,0.5170,0.8672,0.5181
192,198,20,0.9094,0.5181,0.8672,0.5181
193,196,20,0.9094,0.5166,0.8672,0.5181
194,195,20,0.9096,0.5185,0.8672,0.5181
195,195,20,0.9110,0.5223,0.8672,0.5181
196,199,20,0.9099,0.5259,0.8672,0.5181
197,199,20,0.9120,0.5271,0.8672,0.5181
198,197,20,0.9113,0.5310,0.8672,0.5181
199,193,20,0.9159,0.5304,0.8672,0.5181
200,196,20,0.9186,0.5364,0.8672,0.5181
201,197,20,0.9200,0.5359,0.8672,0.5181
202,197,20,0.9212,0.5383,0.8672,0.5181
203,194,20,0.9201,0.5348,0.8672,0.5181
204,195,20,0.9170,0.5357,0.8672,0.5181
205,197,20,0.9157,0.5369,0.8672,0.5181
206,195,20,0.9176,0.5360,0.8672,0.5181
207,196,20,0.9168,0.5405,0.8672,0.5181
208,196,20,0.9176,0.5421,0.8672,0.5181
209,189,20,0.9181,0.5332,0.8672,0.5181
210,194,20,0.9214,0.5228,0.8672,0.5181
211,194,20,0.9229,0.5181,0.8672,0.5181
212,194,20,0.9273,0.5146,0.8672,0.5181
213,197,20,0.9239,0.5162,0.8672,0.5181
214,195,20,0.9239,0.5166,0.8672,0.5181
215,193,20,0.9258,0.5218,0.8672,0.5181
216,199,20,0.9241,0.5203,0.8672,0.5181
217,192,20,0.9271,0.5244,0.8672,0.5181
218,195,20,0.9278,0.5212,0.8672,0.5181
219,195,20,0.9262,0.5218,0.8672,0.5181
220,197,20,0.9273,0.5228,0.8672,0.5181
221,196,20,0.9281,0.5207,0.8672,0.5181
222,192,20,0.9304,0.5227,0.8672,0.5181
223,195,20,0.9277,0.5183,0.8672,0.5181
224,197,20,0.9250,0.5178,0.8672,0.5181
225,195,20,0.9254,0.5144,0.8672,0.5181
226,196,20,0.9244,0.5139,0.8672,0.5181
227,196,20,0.9226,0.5103,0.8672,0.5181
228,197,20,0.9219,0.5100,0.8672,0.5181
229,196,20,0.9251,0.5075,0.8672,0.5181
230,198,20,0.9221,0.5077,0.8672,0.5181
231,199,20,0.9232,0.5072,0.8672,0.5181
232,193,20,0.9215,0.5059,0.8672,0.5181
233,197,20,0.9214,0.5070,0.8672,0.5181
234,197,20,0.9219,0.5040,0.8672,0.5181
235,194,20,0.9229,0.5058,0.8672,0.5181
236,200,20,0.9215,0.5049,0.8672,0.5181
237,193,20,0.9219,0.5036,0.8672,0.5181
238,196,20,0.9223,0.5015,0.8672,0.5181
239,197,20,0.9220,0.5036,0.8672,0.5181
240,198,20,0.9234,0.5027,0.8672,0.5181
241,197,20,0.9233,0.5014,0.8672,0.5181
242,197,20,0.9215,0.5003,0.8672,0.5181
243,196,20,0.9236,0.4968,0.8672,0.5181
244,194,20,0.9220,0.4928,0.8672,0.5181
245,197,20,0.9248,0.4931,0.8672,0.5181
246,197,20,0.9229,0.4946,0.8672,0.5181
247,194,20,0.9290,0.4925,0.8672,0.5181
248,196,20,0.9248,0.4958,0.8672,0.5181
249,198,20,0.9266,0.4958,0.8672,0.5181
250,195,20,0.9271,0.4961,0.8672,0.5181
251,194,20,0.9265,0.4967,0.8672,0.5181
252,196,20,0.9240,0.4934,0.8672,0.5181
253,198,20,0.9251,0.4922,0.8672,0.5181
254,194,20,0.9245,0.4940,0.8672,0.5181
255,197,20,0.9224,0.4941,0.8672,0.5181
256,198,20,0.9217,0.4948,0.8672,0.5181
257,192,20,0.9243,0.4928,0.8672,0.5181
258,196,20,0.9241,0.4932,0.8672,0.5181
259,198,20,0.9231,0.4888,0.8672,0.5181
260,194,20,0.9177,0.4890,0.8672,0.5181
261,194,20,0.9168,0.4840,0.8672,0.5181
262,194,20,0.9218,0.4861,0.8672,0.5181
263,197,20,0.9231,0.4874,0.8672,0.5181
264,196,20,0.9212,0.4830,0.8672,0.5181
265,195,20,0.9226,0.4810,0.8672,0.5181
266,193,20,0.9240,0.4814,0.8672,0.5181
267,193,20,0.9265,0.4823,0.8672,0.5181
268,192,20,0.9266,0.4843,0.8672,0.5181
269,193,20,0.9295,0.4908,0.8672,0.5181
270,198,20,0.9330,0.4945,0.8672,0.5181
271,195,20,0.9342,0.4951,0.8672,0.5181
272,195,20,0.9329,0.4942,0.8672,0.5181
273,197,20,0.9342,0.4879,0.8672,0.5181
274,195,20,0.9338,0.4895,0.8672,0.5181
275,197,20,0.9357,0.4919,0.8672,0.5181
276,198,20,0.9373,0.4922,0.8672,0.5181
277,199,20,0.9384,0.4904,0.8672,0.5181
278,194,20,0.9391,0.4874,0.8672,0.5181
279,197,20,0.9377,0.4850,0.8672,0.5181
280,195,20,0.9380,0.4865,0.8672,0.5181
281,198,20,0.9409,0.4871,0.8672,0.5181
282,196,20,0.9392,0.4841,0.8672,0.5181
283,195,20,0.9370,0.4807,0.8672,0.5181
284,197,20,0.9375,0.4760,0.8672,0.5181
285,196,20,0.9375,0.4758,0.8672,0.5181
286,196,20,0.9415,0.4740,0.8672,0.5181
287,192,20,0.9400,0.4720,0.8672,0.5181
288,198,20,0.9434,0.4647,0.8672,0.5181
289,195,20,0.9478,0.4617,0.8672,0.5181
290,194,20,0.9532,0.4591,0.8672,0.5181
291,198,20,0.9534,0.4564,0.8672,0.5181
292,193,20,0.9591,0.4590,0.8672,0.5181
293,197,20,0.9580,0.4559,0.8672,0.5181
294,197,20,0.9591,0.4567,0.8672,0.5181
295,195,20,0.9572,0.4574,0.8672,0.5181
296,198,20,0.9570,0.4574,0.8672,0.5181
297,198,20,0.9585,0.4582,0.8672,0.5181
298,197,20,0.9587,0.4590,0.8672,0.5181
299,193,20,0.9627,0.4598,0.8672,0.5181
300,195,20,0.9628,0.4537,0.8672,0.5181
301,194,20,0.9604,0.4581,0.8672,0.5181
302,194,20,0.9615,0.4586,0.8672,0.5181
303,198,20,0.9588,0.4536,0.8672,0.5181
304,197,20,0.9572,0.4549,0.8672,0.5181
305,197,20,0.9592,0.4528,0.8672,0.5181
306,200,20,0.9586,0.4512,0.8672,0.5181
307,195,20,0.9599,0.4505,0.8672,0.5181
308,197,20,0.9576,0.4480,0.8672,0.5181
309,195,20,0.9556,0.4514,0.8672,0.5181
310,194,20,0.9510,0.4512,0.8672,0.5181
311,198,20,0.9520,0.4543,0.8672,0.5181
312,193,20,0.9543,0.4474,0.8672,0.5181
313,195,20,0.9530,0.4485,0.8672,0.5181
314,197,20,0.9546,0.4477,0.8672,0.5181
315,197,20,0.9544,0.4452,0.8672,0.5181
316,195,20,0.9558,0.4493,0.8672,0.5181
317,194,20,0.9583,0.4449,0.8672,0.5181
318,199,20,0.9593,0.4443,0.8672,0.5181
319,192,20,0.9631,0.4420,0.8672,0.5181
320,192,20,0.9646,0.4437,0.8672,0.5181
321,198,20,0.9700,0.4451,0.8672,0.5181
322,196,20,0.9701,0.4411,0.8672,0.5181
323,197,20,0.9699,0.4400,0.8672,0.5181
324,195,20,0.9689,0.4368,0.8672,0.5181
325,194,20,0.9663,0.4367,0.8672,0.5181
326,190,20,0.9625,0.4356,0.8672,0.5181
327,199,20,0.9622,0.4387,0.8672,0.5181
328,196,20,0.9614,0.4369,0.8672,0.5181
329,197,20,0.9583,0.4347,0.8672,0.5181
330,199,20,0.9579,0.4365,0.8672,0.5181
331,196,20,0.9550,0.4397,0.8672,0.5181
332,196,20,0.9561,0.4379,0.8672,0.5181
333,192,20,0.9581,0.4370,0.8672,0.5181
334,196,20,0.9558,0.4408,0.8672,0.5181
335,195,20,0.9527,0.4382,0.8672,0.5181
336,197,20,0.9520,0.4412,0.8672,0.5181
337,197,20,0.9500,0.4363,0.8672,0.5181
338,197,20,0.9496,0.4322,0.8672,0.5181
339,197,20,0.9531,0.4365,0.8672,0.5181
340,195,20,0.9547,0.4364,0.8672,0.5181
341,197,20,0.9524,0.4349,0.8672,0.5181
342,196,20,0.9531,0.4359,0.8672,0.5181
343,193,20,0.9480,0.4359,0.8672,0.5181
344,196,20,0.9496,0.4333,0.8672,0.5181
345,197,20,0.9465,0.4282,0.8672,0.5181
346,196,20,0.9455,0.4284,0.8672,0.5181
347,197,20,0.9460,0.4283,0.8672,0.5181
348,199,20,0.9459,0.4269,0.8672,0.5181
349,196,20,0.9428,0.4297,0.8672,0.5181
350,195,20,0.9425,0.4304,0.8672,0.5181
351,195,20,0.9418,0.4260,0.8672,0.5181
