tick,pop,avg_energy,avg_cannibalism,cannibal_acts
1661,200,198.8,0.0722,0
1662,200,195.7,0.0722,0
1663,197,195.6,0.0722,0
1664,199,197.6,0.0719,0
1665,200,195.9,0.0718,0
1666,200,192.8,0.0718,0
1667,198,191.7,0.0719,0
1668,200,191.4,0.0725,0
1669,200,188.3,0.0725,0
1670,200,185.3,0.0725,0
1671,198,184.2,0.0729,0
1672,200,184.0,0.0726,0
1673,199,182.0,0.0729,0
1674,199,181.3,0.0730,0
1675,200,179.8,0.0730,0
1676,198,178.7,0.0734,0
1677,198,180.4,0.0737,0
1678,197,183.1,0.0739,0
1679,199,185.4,0.0739,0
1680,200,183.8,0.0737,0
1681,200,180.8,0.0737,0
1682,199,178.7,0.0740,0
1683,198,179.0,0.0736,0
1684,198,180.7,0.0739,0
1685,200,180.7,0.0740,0
1686,198,179.5,0.0746,0
1687,200,179.4,0.0748,0
1688,200,176.4,0.0748,0
1689,197,176.1,0.0752,0
1690,199,178.5,0.0740,0
1691,199,177.9,0.0738,0
1692,199,177.2,0.0735,0
1693,199,176.6,0.0734,0
1694,200,175.1,0.0734,0
1695,199,173.1,0.0731,0
1696,200,171.6,0.0732,0
1697,198,170.4,0.0724,0
1698,199,171.4,0.0725,0
1699,199,170.8,0.0725,0
1700,200,169.5,0.0723,0
1701,199,167.4,0.0726,0
1702,200,166.1,0.0724,0
1703,198,164.9,0.0726,0
1704,200,165.1,0.0731,0
1705,200,162.2,0.0731,0
1706,198,161.1,0.0730,0
1707,199,162.2,0.0728,0
1708,200,160.9,0.0725,0
1709,199,158.9,0.0729,0
1710,200,157.7,0.0735,0
1711,199,155.7,0.0733,0
1712,200,154.6,0.0734,0
1713,200,151.9,0.0734,0
1714,198,150.7,0.0733,0
1715,200,151.2,0.0727,0
1716,197,150.8,0.0734,0
1717,200,153.0,0.0726,0
1718,198,151.8,0.0726,0
1719,199,153.1,0.0724,0
1720,200,152.1,0.0721,0
1721,199,150.2,0.0722,0
1722,198,150.7,0.0731,0
1723,199,152.0,0.0722,0
1724,197,153.2,0.0719,0
1725,199,156.1,0.0718,0
1726,197,157.3,0.0724,0
1727,198,160.9,0.0718,0
1728,198,162.9,0.0720,0
1729,197,165.7,0.0718,0
1730,198,169.2,0.0719,0
1731,200,169.4,0.0716,0
1732,198,168.2,0.0721,0
1733,198,170.2,0.0716,0
1734,200,170.3,0.0720,0
1735,198,169.2,0.0719,0
1736,198,171.1,0.0714,0
1737,200,171.3,0.0711,0
1738,196,171.8,0.0716,0
1739,196,178.5,0.0677,0
1740,197,184.2,0.0686,0
1741,197,188.2,0.0690,0
1742,199,190.3,0.0695,0
1743,198,190.4,0.0702,0
1744,199,191.1,0.0695,0
1745,200,189.4,0.0692,0
1746,197,189.1,0.0692,0
1747,200,190.2,0.0695,0
1748,196,190.9,0.0692,0
1749,200,193.4,0.0691,0
1750,199,191.2,0.0691,0
1751,200,189.5,0.0691,0
1752,198,188.2,0.0696,0
1753,198,189.9,0.0695,0
1754,198,191.5,0.0693,0
1755,194,197.1,0.0687,0
1756,199,203.2,0.0677,0
1757,199,202.2,0.0677,0
1758,198,202.3,0.0669,0
1759,198,203.8,0.0678,0
1760,198,205.2,0.0675,0
1761,199,205.7,0.0666,0
1762,199,204.8,0.0670,0
1763,200,202.9,0.0667,0
1764,199,200.7,0.0662,0
1765,197,201.9,0.0654,0
1766,198,204.8,0.0651,0
1767,199,205.3,0.0654,0
1768,199,204.4,0.0656,0
1769,198,204.5,0.0649,0
1770,200,204.0,0.0649,0
1771,198,202.8,0.0652,0
1772,196,206.5,0.0649,0
1773,199,209.5,0.0665,0
1774,200,207.6,0.0666,0
1775,198,206.5,0.0661,0
1776,198,208.1,0.0665,0
1777,200,207.5,0.0660,0
1778,199,205.5,0.0663,0
1779,198,205.8,0.0661,0
1780,199,206.5,0.0656,0
1781,199,205.7,0.0659,0
1782,198,206.0,0.0663,0
1783,198,207.7,0.0670,0
1784,196,211.5,0.0663,0
1785,197,216.8,0.0668,0
1786,200,217.5,0.0670,0
1787,199,215.3,0.0671,0
1788,200,213.5,0.0672,0
1789,200,210.3,0.0672,0
1790,199,208.2,0.0675,0
1791,198,208.5,0.0677,0
1792,199,209.1,0.0670,0
1793,196,211.6,0.0676,0
1794,199,214.8,0.0664,0
1795,198,215.0,0.0673,0
1796,197,217.7,0.0662,0
1797,198,220.6,0.0660,0
1798,198,222.1,0.0666,0
1799,200,221.4,0.0673,0
1800,198,220.3,0.0670,0
1801,200,219.7,0.0667,0
1802,200,216.4,0.0667,0
1803,199,214.3,0.0669,0
1804,199,213.5,0.0672,0
1805,199,212.7,0.0679,0
1806,199,211.9,0.0682,0
1807,197,213.3,0.0669,0
1808,198,216.2,0.0671,0
1809,200,215.5,0.0667,0
1810,200,212.3,0.0667,0
1811,200,209.1,0.0667,0
1812,199,207.0,0.0669,0
1813,197,208.4,0.0667,0
1814,200,209.2,0.0670,0
1815,199,207.0,0.0671,0
1816,199,206.2,0.0679,0
1817,200,204.4,0.0683,0
1818,200,201.3,0.0683,0
1819,200,198.2,0.0683,0
1820,198,197.1,0.0683,0
1821,199,197.8,0.0680,0
1822,197,199.1,0.0669,0
1823,200,200.1,0.0664,0
1824,200,197.0,0.0664,0
1825,200,194.0,0.0664,0
1826,199,191.9,0.0665,0
1827,199,191.2,0.0661,0
1828,197,192.5,0.0656,0
1829,200,193.6,0.0659,0
1830,200,190.6,0.0659,0
1831,199,188.5,0.0658,0
1832,200,186.9,0.0658,0
1833,200,183.9,0.0658,0
1834,199,181.9,0.0655,0
1835,199,181.3,0.0659,0
1836,199,180.7,0.0663,0
1837,200,179.2,0.0660,0
1838,199,177.1,0.0663,0
1839,199,176.6,0.0662,0
1840,199,176.0,0.0663,0
1841,199,175.5,0.0659,0
