tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
389,20,180,0,0.573,0
390,20,180,0,0.573,0
391,20,180,0,0.573,0
392,20,180,0,0.573,0
393,20,180,0,0.573,0
394,20,180,0,0.573,0
395,20,180,0,0.573,0
396,20,180,0,0.573,0
397,20,180,0,0.573,0
398,20,180,0,0.573,0
399,20,180,0,0.573,0
400,20,180,0,0.573,0
401,20,180,0,0.573,0
402,20,180,0,0.573,0
403,20,180,0,0.573,0
404,20,180,0,0.573,0
405,20,180,0,0.573,0
406,20,180,0,0.573,0
407,20,180,0,0.573,0
408,20,180,0,0.573,0
409,20,180,0,0.573,0
410,20,180,0,0.573,0
411,20,180,0,0.573,0
412,20,180,0,0.573,0
413,20,180,0,0.573,0
414,20,180,0,0.573,0
415,20,180,0,0.573,0
416,20,180,0,0.573,0
417,20,180,0,0.573,0
418,20,180,0,0.573,0
419,20,180,0,0.573,0
420,20,180,0,0.573,0
421,20,180,0,0.573,0
422,20,180,0,0.573,0
423,20,180,0,0.573,0
424,20,180,0,0.573,0
425,20,180,0,0.573,0
426,20,180,0,0.573,0
427,20,180,0,0.573,0
428,20,180,0,0.573,0
429,20,180,0,0.573,0
430,20,180,0,0.573,0
431,20,180,0,0.573,0
432,20,180,0,0.573,0
433,20,180,0,0.573,0
434,20,180,0,0.573,0
435,20,180,0,0.573,0
436,20,180,0,0.573,0
437,20,180,0,0.573,0
438,20,180,0,0.573,0
439,20,180,0,0.573,0
440,20,180,0,0.573,0
441,20,180,0,0.573,0
442,20,180,0,0.573,0
443,20,180,0,0.573,0
444,20,180,0,0.573,0
445,20,180,0,0.573,0
446,20,180,0,0.573,0
447,20,180,0,0.573,0
448,20,180,0,0.573,0
449,20,180,0,0.573,0
450,20,180,0,0.573,0
451,20,180,0,0.573,0
452,20,180,0,0.573,0
453,20,180,0,0.573,0
454,20,180,0,0.573,0
455,20,180,0,0.573,0
456,20,180,0,0.573,0
457,20,180,0,0.573,0
458,20,180,0,0.573,0
459,20,180,0,0.573,0
460,20,180,0,0.573,0
461,20,180,0,0.573,0
462,20,180,0,0.573,0
463,20,180,0,0.573,0
464,20,180,0,0.573,0
465,20,180,0,0.573,0
466,20,180,0,0.573,0
467,20,180,0,0.573,0
468,20,180,0,0.573,0
469,20,180,0,0.573,0
470,20,180,0,0.573,0
471,20,180,0,0.573,0
472,20,180,0,0.573,0
473,20,180,0,0.573,0
474,20,180,0,0.573,0
475,20,180,0,0.573,0
476,20,180,0,0.573,0
477,20,180,0,0.573,0
478,20,180,0,0.573,0
479,20,180,0,0.573,0
480,20,180,0,0.573,0
481,20,180,0,0.573,0
482,20,180,0,0.573,0
483,20,180,0,0.573,0
484,20,180,0,0.573,0
485,20,180,0,0.573,0
486,20,180,0,0.573,0
