tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
809,0.046,18.3,-0.0,0,147,59.0
810,0.046,18.3,0.0,0,147,59.1
811,0.046,18.3,0.0,0,147,58.8
812,0.046,18.3,0.0,0,147,58.3
813,0.046,18.3,0.0,0,147,58.7
814,0.046,18.3,0.0,0,147,58.0
815,0.046,18.3,0.0,0,147,57.6
816,0.046,18.3,0.0,0,147,57.8
817,0.046,18.3,0.0,0,147,57.6
818,0.046,18.3,0.0,0,147,57.2
819,0.046,18.3,-0.0,0,147,57.6
820,0.046,18.3,0.0,0,147,57.6
821,0.046,18.3,-0.0,0,147,56.3
822,0.046,18.3,0.0,0,147,55.9
823,0.046,18.3,0.0,0,147,56.5
824,0.046,18.3,-0.0,0,147,55.8
825,0.046,18.3,-0.0,0,147,56.0
826,0.046,18.3,-0.0,0,147,56.5
827,0.046,18.3,-0.0,0,147,56.1
828,0.046,18.3,0.0,0,147,56.4
829,0.046,18.3,0.0,0,147,56.9
830,0.046,18.3,0.0,0,147,55.9
831,0.046,18.3,0.0,0,147,55.1
832,0.046,18.3,0.0,0,147,55.8
833,0.046,18.3,-0.0,0,147,55.9
834,0.046,18.3,-0.0,0,147,55.4
835,0.046,18.3,-0.0,0,147,56.4
836,0.046,18.3,-0.0,0,147,55.7
837,0.046,18.3,-0.0,0,147,55.2
838,0.046,18.3,-0.0,0,147,55.7
839,0.046,18.3,-0.0,0,147,55.2
840,0.046,18.3,0.0,0,147,54.9
841,0.046,18.3,-0.0,0,147,55.8
842,0.046,18.3,-0.0,0,147,55.5
843,0.046,18.3,0.0,0,147,54.8
844,0.046,18.3,0.0,0,147,55.8
845,0.046,18.3,0.0,0,147,55.0
846,0.046,18.3,0.0,0,147,54.7
847,0.046,18.3,-0.0,0,147,55.3
848,0.046,18.3,-0.0,0,147,54.8
849,0.046,18.3,0.0,0,147,54.4
850,0.046,18.3,-0.0,0,147,54.5
851,0.046,18.3,0.0,0,147,54.5
852,0.046,18.3,0.0,0,147,54.3
853,0.046,18.3,0.0,0,147,54.6
854,0.046,18.3,-0.0,0,147,54.3
855,0.046,18.3,0.0,0,147,54.3
856,0.046,18.3,0.0,0,147,54.2
857,0.046,18.3,-0.0,0,147,53.6
858,0.046,18.3,0.0,0,147,53.6
859,0.046,18.3,-0.0,0,147,53.6
860,0.046,18.3,0.0,0,147,53.8
861,0.046,18.3,-0.0,0,147,53.9
862,0.046,18.3,0.0,0,147,53.8
863,0.046,18.3,-0.0,0,147,53.4
864,0.046,18.3,-0.0,0,147,53.9
865,0.046,18.3,0.0,0,147,53.2
866,0.046,18.3,0.0,0,147,54.0
867,0.046,18.3,-0.0,0,147,53.4
868,0.046,18.3,-0.0,0,147,52.5
869,0.046,18.3,0.0,0,147,53.2
870,0.046,18.3,-0.0,0,147,53.0
871,0.046,18.3,0.0,0,147,52.7
872,0.046,18.3,0.0,0,147,52.7
873,0.046,18.3,0.0,0,147,52.7
874,0.046,18.3,-0.0,0,147,51.7
875,0.046,18.3,-0.0,0,147,51.0
876,0.046,18.3,0.0,0,147,51.8
877,0.046,18.3,0.0,0,147,51.1
878,0.046,18.3,-0.0,0,147,51.1
879,0.046,18.3,0.0,0,147,51.8
880,0.046,18.3,0.0,0,147,51.8
881,0.046,18.3,-0.0,0,147,50.8
882,0.046,18.3,0.0,0,147,50.5
883,0.046,18.3,0.0,0,147,50.8
884,0.046,18.3,-0.0,0,147,50.4
885,0.046,18.3,0.0,0,147,50.9
886,0.046,18.3,-0.0,0,147,50.4
887,0.046,18.3,0.0,0,147,50.6
888,0.046,18.3,0.0,0,147,50.8
889,0.046,18.3,-0.0,0,147,50.4
890,0.046,18.3,0.0,0,147,50.5
891,0.046,18.3,-0.0,0,147,50.1
892,0.046,18.3,0.0,0,147,50.0
893,0.046,18.3,-0.0,0,147,50.5
894,0.046,18.3,-0.0,0,147,50.5
895,0.046,18.3,0.0,0,147,50.1
896,0.046,18.3,-0.0,0,147,50.0
897,0.046,18.3,-0.0,0,147,50.7
898,0.046,18.3,0.0,0,147,50.1
899,0.046,18.3,-0.0,0,147,50.1
900,0.046,18.3,-0.0,0,147,49.9
901,0.046,18.3,-0.0,0,147,50.0
902,0.046,18.3,-0.0,0,147,50.1
903,0.046,18.3,0.0,0,147,49.8
904,0.046,18.3,0.0,0,147,50.0
905,0.046,18.3,0.0,0,147,49.5
906,0.046,18.3,0.0,0,147,50.3
907,0.046,18.3,-0.0,0,147,49.7
908,0.046,18.3,0.0,0,147,49.5
909,0.046,18.3,0.0,0,147,49.5
910,0.046,18.3,-0.0,0,147,49.4
911,0.046,18.3,0.0,0,147,48.9
912,0.046,18.3,0.0,0,147,49.3
913,0.046,18.3,-0.0,0,147,49.4
914,0.046,18.3,-0.0,0,147,48.7
915,0.046,18.3,0.0,0,147,48.2
916,0.046,18.3,-0.0,0,147,49.0
917,0.046,18.3,-0.0,0,147,48.7
918,0.046,18.3,0.0,0,147,48.9
919,0.046,18.3,0.0,0,147,48.9
920,0.046,18.3,-0.0,0,147,48.4
921,0.046,18.3,-0.0,0,147,49.3
922,0.046,18.3,0.0,0,147,48.5
