tick,pop,avg_dist,at_food,intent_move_to_food,knowledge_spread
822,49,84.9,0,0,0
823,49,84.9,0,0,0
824,49,84.9,0,0,0
825,49,84.9,0,0,0
826,49,84.9,0,0,0
827,49,84.9,0,0,0
828,49,84.9,0,0,0
829,49,84.9,0,0,0
830,49,84.9,0,0,0
831,49,84.9,0,0,0
832,49,84.9,0,0,0
833,49,84.9,0,0,0
834,49,84.9,0,0,0
835,49,84.9,0,0,0
836,49,84.9,0,0,0
837,49,84.9,0,0,0
838,49,84.9,0,0,0
839,49,84.9,0,0,0
840,49,84.9,0,0,0
841,49,84.9,0,0,0
842,49,84.9,0,0,0
843,49,84.9,0,0,0
844,49,84.9,0,0,0
845,49,84.9,0,0,0
846,49,84.9,0,0,0
847,49,84.9,0,0,0
848,49,84.9,0,0,0
849,49,84.9,0,0,0
850,49,84.9,0,0,0
851,49,84.9,0,0,0
852,49,84.9,0,0,0
853,49,84.9,0,0,0
854,49,84.9,0,0,0
855,49,84.9,0,0,0
856,49,84.9,0,0,0
857,49,84.9,0,0,0
858,49,84.9,0,0,0
859,49,84.9,0,0,0
860,49,84.9,0,0,0
861,49,84.9,0,0,0
862,49,84.9,0,0,0
863,49,84.9,0,0,0
864,49,84.9,0,0,0
865,49,84.9,0,0,0
866,49,84.9,0,0,0
867,49,84.9,0,0,0
868,49,84.9,0,0,0
869,49,84.9,0,0,0
870,49,84.9,0,0,0
871,49,84.9,0,0,0
872,49,84.9,0,0,0
873,49,84.9,0,0,0
874,49,84.9,0,0,0
875,49,84.9,0,0,0
876,49,84.9,0,0,0
877,49,84.9,0,0,0
878,49,84.9,0,0,0
879,49,84.9,0,0,0
880,49,84.9,0,0,0
881,49,84.9,0,0,0
882,49,84.9,0,0,0
883,49,84.9,0,0,0
884,49,84.9,0,0,0
885,49,84.9,0,0,0
886,49,84.9,0,0,0
887,49,84.9,0,0,0
888,49,84.9,0,0,0
889,49,84.9,0,0,0
890,49,84.9,0,0,0
891,49,84.9,0,0,0
892,49,84.9,0,0,0
893,49,84.9,0,0,0
894,49,84.9,0,0,0
895,49,84.9,0,0,0
896,49,84.9,0,0,0
897,49,84.9,0,0,0
898,49,84.9,0,0,0
899,49,84.9,0,0,0
900,49,84.9,0,0,0
901,49,84.9,0,0,0
902,49,84.9,0,0,0
903,49,84.9,0,0,0
904,49,84.9,0,0,0
905,49,84.9,0,0,0
906,49,84.9,0,0,0
907,49,84.9,0,0,0
908,49,84.9,0,0,0
909,49,84.9,0,0,0
910,49,84.9,0,0,0
911,49,84.9,0,0,0
912,49,84.9,0,0,0
913,49,84.9,0,0,0
914,49,84.9,0,0,0
915,49,84.9,0,0,0
