tick,population,avg_energy,entropy_rate
462,1000,14.9,1.000
463,1000,14.9,1.000
464,1000,14.9,1.000
465,1000,14.9,1.000
466,1000,14.9,1.000
467,1000,14.9,1.000
468,1000,14.9,1.000
469,1000,14.9,1.000
470,1000,14.9,1.000
471,1000,14.9,1.000
472,1000,14.9,1.000
473,1000,14.9,1.000
474,1000,14.9,1.000
475,1000,14.9,1.000
476,1000,14.9,1.000
477,1000,14.9,1.000
478,1000,14.9,1.000
479,1000,14.9,1.000
480,1000,14.9,1.000
481,1000,14.9,1.000
482,1000,14.8,1.000
483,1000,14.8,1.000
484,1000,14.8,1.000
485,1000,14.8,1.000
486,1000,14.8,1.000
487,1000,14.8,1.000
488,1000,14.8,1.000
489,1000,14.8,1.000
490,1000,14.8,1.000
491,1000,14.8,1.000
492,1000,14.8,1.000
493,1000,14.8,1.000
494,1000,14.8,1.000
495,1000,14.8,1.000
496,1000,14.8,1.000
497,1000,14.8,1.000
498,1000,14.8,1.000
499,1000,14.8,1.000
