tick,pop_rich,pop_poor,avg_nrg_rich,avg_nrg_poor,trades
455,200,0,254.9,0.0,0
456,200,0,254.0,0.0,0
457,200,0,253.2,0.0,0
458,200,0,252.3,0.0,0
459,200,0,251.5,0.0,0
460,200,0,250.6,0.0,0
461,200,0,249.8,0.0,0
462,200,0,249.0,0.0,0
463,200,0,248.2,0.0,0
464,200,0,247.3,0.0,0
465,200,0,246.5,0.0,0
466,200,0,245.7,0.0,0
467,200,0,244.9,0.0,0
468,200,0,244.1,0.0,0
469,200,0,243.3,0.0,20
470,200,0,242.6,0.0,20
471,200,0,241.8,0.0,20
472,200,0,241.1,0.0,20
473,200,0,240.4,0.0,20
474,200,0,239.7,0.0,20
475,200,0,239.0,0.0,20
476,200,0,238.3,0.0,20
477,200,0,237.7,0.0,20
478,200,0,237.0,0.0,20
479,200,0,236.4,0.0,20
480,200,0,235.7,0.0,14
481,200,0,235.1,0.0,7
482,200,0,234.4,0.0,13
483,200,0,233.8,0.0,9
484,200,0,233.2,0.0,3
485,200,0,232.5,0.0,11
486,200,0,231.9,0.0,8
487,200,0,231.3,0.0,7
488,200,0,230.6,0.0,11
489,200,0,230.0,0.0,3
490,200,0,229.4,0.0,11
491,200,0,228.7,0.0,13
492,200,0,228.1,0.0,2
493,200,0,227.5,0.0,11
494,200,0,226.9,0.0,7
495,200,0,226.2,0.0,3
496,200,0,225.6,0.0,17
497,200,0,225.0,0.0,7
498,200,0,224.4,0.0,8
499,200,0,223.8,0.0,13
500,200,0,223.2,0.0,4
501,200,0,222.6,0.0,9
502,200,0,222.0,0.0,9
503,200,0,221.4,0.0,3
504,200,0,220.8,0.0,11
505,200,0,220.2,0.0,8
506,200,0,219.6,0.0,2
507,200,0,219.0,0.0,16
508,200,0,218.4,0.0,5
509,200,0,217.8,0.0,6
510,200,0,217.2,0.0,12
511,200,0,216.6,0.0,3
512,200,0,216.0,0.0,9
513,200,0,215.5,0.0,9
514,200,0,214.9,0.0,3
515,200,0,214.3,0.0,11
516,200,0,213.8,0.0,10
517,200,0,213.2,0.0,1
518,200,0,212.6,0.0,16
519,200,0,212.1,0.0,7
520,200,0,211.5,0.0,3
521,200,0,210.9,0.0,15
522,200,0,210.4,0.0,5
523,200,0,209.8,0.0,6
524,200,0,209.3,0.0,12
525,200,0,208.7,0.0,4
526,200,0,208.2,0.0,10
527,200,0,207.6,0.0,9
528,200,0,207.1,0.0,3
529,200,0,206.6,0.0,11
530,200,0,206.0,0.0,8
531,200,0,205.5,0.0,4
532,200,0,205.0,0.0,15
533,200,0,204.4,0.0,8
534,200,0,203.9,0.0,7
535,200,0,203.4,0.0,16
536,200,0,202.9,0.0,7
537,200,0,202.3,0.0,13
538,200,0,201.8,0.0,15
539,200,0,201.3,0.0,10
540,200,0,200.8,0.0,20
541,200,0,200.3,0.0,18
542,200,0,199.8,0.0,12
543,200,0,199.3,0.0,25
544,200,0,198.8,0.0,28
545,200,0,198.3,0.0,24
546,200,0,197.8,0.0,36
547,200,0,197.3,0.0,32
548,200,0,196.8,0.0,39
549,200,0,196.3,0.0,46
