tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_age
217,197,50,0.5494,0.6504,211.5
218,200,50,0.5496,0.6504,212.5
219,198,50,0.5493,0.6504,213.5
220,198,50,0.5478,0.6504,214.5
221,200,50,0.5464,0.6504,215.5
222,197,50,0.5479,0.6504,216.5
223,197,50,0.5510,0.6504,217.5
224,197,50,0.5498,0.6504,218.5
225,196,50,0.5525,0.6504,219.5
226,199,50,0.5523,0.6504,220.5
227,199,50,0.5514,0.6504,221.5
228,197,50,0.5508,0.6504,222.5
229,196,50,0.5512,0.6504,223.5
230,196,50,0.5495,0.6504,224.5
231,199,50,0.5497,0.6504,225.5
232,195,50,0.5493,0.6504,226.5
233,197,50,0.5492,0.6504,227.5
234,198,50,0.5505,0.6504,228.5
235,199,50,0.5515,0.6504,229.5
236,196,50,0.5518,0.6504,230.5
237,196,50,0.5528,0.6504,231.5
238,199,50,0.5522,0.6504,232.5
239,196,50,0.5516,0.6504,233.5
240,199,50,0.5520,0.6504,234.5
241,198,50,0.5517,0.6504,235.5
242,197,50,0.5519,0.6504,236.5
243,196,50,0.5516,0.6504,237.5
244,197,50,0.5521,0.6504,238.5
245,197,50,0.5516,0.6504,239.5
246,198,50,0.5511,0.6504,240.5
247,198,50,0.5512,0.6504,241.5
248,198,50,0.5531,0.6504,242.5
249,198,50,0.5524,0.6504,243.5
250,199,50,0.5538,0.6504,244.5
251,199,50,0.5547,0.6504,245.5
252,193,50,0.5549,0.6504,246.5
253,196,50,0.5587,0.6504,247.5
254,197,50,0.5584,0.6504,248.5
255,198,50,0.5576,0.6504,249.5
256,199,50,0.5590,0.6504,250.5
257,196,50,0.5584,0.6504,251.5
258,195,50,0.5581,0.6504,252.5
259,195,50,0.5576,0.6504,253.5
260,199,50,0.5579,0.6504,254.5
261,194,50,0.5569,0.6504,255.5
262,199,50,0.5572,0.6504,256.5
263,199,50,0.5566,0.6504,257.5
264,197,50,0.5571,0.6504,258.5
265,198,50,0.5570,0.6504,259.5
266,195,50,0.5588,0.6504,260.5
267,199,50,0.5574,0.6504,261.5
268,200,50,0.5590,0.6504,262.5
269,199,50,0.5590,0.6504,263.5
270,196,50,0.5594,0.6504,264.5
271,199,50,0.5616,0.6504,265.5
272,198,50,0.5614,0.6504,266.5
273,197,50,0.5595,0.6504,267.5
274,200,50,0.5589,0.6504,268.5
275,197,50,0.5595,0.6504,269.5
276,200,50,0.5603,0.6504,270.5
277,198,50,0.5601,0.6504,271.5
278,193,50,0.5613,0.6504,272.5
279,197,50,0.5638,0.6504,273.5
280,200,50,0.5643,0.6504,274.5
281,195,50,0.5630,0.6504,275.5
282,197,50,0.5626,0.6504,276.5
283,197,50,0.5637,0.6504,277.5
284,198,50,0.5642,0.6504,278.5
285,199,50,0.5633,0.6504,279.5
286,195,50,0.5649,0.6504,280.5
287,199,50,0.5658,0.6504,281.5
288,198,50,0.5661,0.6504,282.5
289,198,50,0.5647,0.6504,283.5
290,197,50,0.5666,0.6504,284.5
291,198,50,0.5661,0.6504,285.5
292,196,50,0.5662,0.6504,286.5
293,199,50,0.5655,0.6504,287.5
294,198,50,0.5669,0.6504,288.5
295,198,50,0.5668,0.6504,289.5
296,197,50,0.5656,0.6504,290.5
297,198,50,0.5643,0.6504,291.5
298,198,50,0.5646,0.6504,292.5
299,196,50,0.5631,0.6504,293.5
300,195,50,0.5639,0.6504,294.5
301,199,50,0.5650,0.6504,295.5
302,197,50,0.5662,0.6504,296.5
303,198,50,0.5649,0.6504,297.5
304,197,50,0.5646,0.6504,298.5
305,198,50,0.5640,0.6504,299.5
306,196,50,0.5644,0.6504,300.5
307,196,50,0.5630,0.6504,301.5
308,197,50,0.5626,0.6504,302.5
309,199,50,0.5625,0.6504,303.5
310,199,50,0.5618,0.6504,304.5
311,195,50,0.5635,0.6504,305.5
312,198,50,0.5636,0.6504,306.5
313,193,50,0.5638,0.6504,307.5
314,197,50,0.5659,0.6504,308.5
315,200,50,0.5655,0.6504,309.5
316,199,50,0.5664,0.6504,310.5
317,197,50,0.5657,0.6504,311.5
318,196,50,0.5671,0.6504,312.5
319,197,50,0.5651,0.6504,313.5
320,196,50,0.5673,0.6504,314.5
321,198,50,0.5671,0.6504,315.5
322,199,50,0.5679,0.6504,316.5
323,196,50,0.5676,0.6504,317.5
324,197,50,0.5659,0.6504,318.5
325,197,50,0.5646,0.6504,319.5
326,197,50,0.5638,0.6504,320.5
327,199,50,0.5641,0.6504,321.5
328,197,50,0.5630,0.6504,322.5
329,199,50,0.5619,0.6504,323.5
330,200,50,0.5615,0.6504,324.5
331,198,50,0.5619,0.6504,325.5
332,196,50,0.5627,0.6504,326.5
333,200,50,0.5615,0.6504,327.5
334,199,50,0.5615,0.6504,328.5
335,196,50,0.5620,0.6504,329.5
336,200,50,0.5605,0.6504,330.5
337,196,50,0.5602,0.6504,331.5
338,196,50,0.5596,0.6504,332.5
339,195,50,0.5584,0.6504,333.5
340,200,50,0.5569,0.6504,334.5
341,199,50,0.5565,0.6504,335.5
342,196,50,0.5568,0.6504,336.5
343,198,50,0.5559,0.6504,337.5
344,196,50,0.5556,0.6504,338.5
345,198,50,0.5544,0.6504,339.5
346,197,50,0.5524,0.6504,340.5
347,197,50,0.5497,0.6504,341.5
348,196,50,0.5501,0.6504,342.5
349,198,50,0.5489,0.6504,343.5
350,198,50,0.5463,0.6504,344.5
351,195,50,0.5417,0.6504,345.5
352,192,50,0.5416,0.6504,346.5
353,197,50,0.5426,0.6504,347.5
354,196,50,0.5425,0.6504,348.5
355,199,50,0.5422,0.6504,349.5
356,199,50,0.5425,0.6504,350.5
357,198,50,0.5413,0.6504,351.5
358,198,50,0.5403,0.6504,352.5
359,199,50,0.5405,0.6504,353.5
360,197,50,0.5386,0.6504,354.5
361,198,50,0.5398,0.6504,355.5
362,200,50,0.5390,0.6504,356.5
363,196,50,0.5389,0.6504,357.5
364,198,50,0.5408,0.6504,358.5
365,195,50,0.5399,0.6504,359.5
366,197,50,0.5398,0.6504,360.5
367,198,50,0.5411,0.6504,361.5
368,196,50,0.5400,0.6504,362.5
369,198,50,0.5397,0.6504,363.5
370,198,50,0.5397,0.6504,364.5
371,198,50,0.5385,0.6504,365.5
372,197,50,0.5394,0.6504,366.5
373,194,50,0.5382,0.6504,367.5
374,199,50,0.5387,0.6504,368.5
375,197,50,0.5378,0.6504,369.5
376,196,50,0.5387,0.6504,370.5
377,194,50,0.5369,0.6504,371.5
378,197,50,0.5355,0.6504,372.5
379,199,50,0.5360,0.6504,373.5
380,199,50,0.5359,0.6504,374.5
381,196,50,0.5342,0.6504,375.5
382,192,50,0.5313,0.6504,376.5
383,195,50,0.5278,0.6504,377.5
384,199,50,0.5287,0.6504,378.5
385,198,50,0.5271,0.6504,379.5
386,198,50,0.5267,0.6504,380.5
387,197,50,0.5258,0.6504,381.5
388,195,50,0.5225,0.6504,382.5
389,194,50,0.5232,0.6504,383.5
390,197,50,0.5216,0.6504,384.5
391,199,50,0.5211,0.6504,385.5
392,199,50,0.5196,0.6504,386.5
393,197,50,0.5204,0.6504,387.5
394,198,50,0.5231,0.6504,388.5
395,199,50,0.5244,0.6504,389.5
396,199,50,0.5238,0.6504,390.5
397,197,50,0.5244,0.6504,391.5
