tick,pop,avg_dist,at_food,knowledge_spread
106,50,83.4,0,0
107,50,83.3,0,0
108,50,83.3,0,0
109,50,83.3,0,0
110,50,83.3,0,0
111,50,83.3,0,0
112,50,83.3,0,0
113,50,83.3,0,0
114,50,83.2,0,0
115,50,83.2,0,0
116,50,83.2,0,0
117,50,83.2,0,0
118,50,83.2,0,0
119,50,83.2,0,0
120,50,83.2,0,0
121,50,83.2,0,0
122,50,83.1,0,0
123,50,83.1,0,0
124,50,83.1,0,0
125,50,83.1,0,0
126,50,83.1,0,0
127,50,83.1,0,0
128,50,83.1,0,0
129,50,83.0,0,0
130,50,83.0,0,0
131,50,83.0,0,0
132,50,83.0,0,0
133,50,83.0,0,0
134,50,83.0,0,0
135,50,83.0,0,0
136,50,82.9,0,0
137,50,82.9,0,0
138,50,82.9,0,0
139,50,82.9,0,0
140,50,82.9,0,0
141,50,82.9,0,0
142,50,82.9,0,0
143,50,82.8,0,0
144,50,82.8,0,0
145,50,82.8,0,0
146,50,82.8,0,0
147,50,82.8,0,0
148,50,82.8,0,0
149,50,82.8,0,0
150,50,82.7,0,0
151,50,82.7,0,0
152,50,82.7,0,0
153,50,82.7,0,0
154,50,82.7,0,0
155,50,82.7,0,0
156,50,82.7,0,0
157,50,82.6,0,0
158,50,82.6,0,0
159,50,82.6,0,0
160,50,82.6,0,0
161,50,82.6,0,0
162,50,82.6,0,0
163,50,82.6,0,0
164,50,82.5,0,0
165,50,82.5,0,0
166,50,82.5,0,0
167,50,82.5,0,0
168,50,82.5,0,0
169,50,82.5,0,0
170,50,82.5,0,0
171,50,82.4,0,0
172,50,82.4,0,0
173,50,82.4,0,0
174,50,82.4,0,0
175,50,82.4,0,0
176,50,82.4,0,0
177,50,82.4,0,0
178,50,82.3,0,0
179,50,82.3,0,0
180,50,82.3,0,0
181,50,82.3,0,0
182,50,82.3,0,0
183,50,82.3,0,0
184,50,82.3,0,0
185,50,82.2,0,0
186,50,82.2,0,0
187,50,82.2,0,0
188,50,82.2,0,0
189,50,82.2,0,0
190,50,82.2,0,0
191,50,82.2,0,0
192,50,82.1,0,0
193,50,82.1,0,0
194,50,82.1,0,0
195,50,82.1,0,0
196,50,82.1,0,0
197,50,82.1,0,0
198,50,82.1,0,0
199,50,82.1,0,0
