tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
617,0.19,95,5,412.1,0.5047
618,0.19,95,5,411.2,0.5047
619,0.19,95,5,410.2,0.5047
620,0.20,95,5,409.3,0.5047
621,0.20,95,5,408.5,0.5047
622,0.20,95,5,407.5,0.5047
623,0.20,95,5,406.6,0.5047
624,0.20,95,5,405.7,0.5047
625,0.20,95,5,404.9,0.5047
626,0.20,95,5,403.9,0.5047
627,0.20,95,5,403.1,0.5047
628,0.20,95,5,402.3,0.5047
629,0.20,95,5,401.4,0.5047
630,0.20,95,5,400.5,0.5047
631,0.19,95,5,399.7,0.5047
632,0.19,95,5,398.9,0.5047
633,0.19,95,5,397.7,0.5047
634,0.18,95,5,396.7,0.5047
635,0.18,95,5,395.7,0.5047
636,0.18,95,5,394.6,0.5047
637,0.17,95,5,393.6,0.5047
638,0.17,95,5,392.5,0.5047
639,0.16,95,5,391.4,0.5047
640,0.16,95,5,390.1,0.5047
641,0.15,95,5,388.9,0.5047
642,0.15,95,5,387.7,0.5047
643,0.14,95,5,386.2,0.5047
644,0.14,95,5,384.8,0.5047
645,0.13,95,5,383.4,0.5047
646,0.12,95,5,381.8,0.5047
647,0.12,95,5,380.2,0.5047
648,0.11,95,5,378.6,0.5047
649,0.11,95,5,377.1,0.5047
650,0.10,95,5,375.2,0.5047
651,0.09,95,5,373.4,0.5047
652,0.09,95,5,371.7,0.5047
653,0.08,95,5,369.7,0.5047
654,0.08,95,5,367.8,0.5047
655,0.07,95,5,365.8,0.5047
656,0.06,95,5,363.9,0.5047
657,0.06,95,5,361.8,0.5047
658,0.05,95,5,359.6,0.5047
659,0.05,95,5,357.5,0.5047
660,0.04,95,5,355.2,0.5047
661,0.04,95,5,352.9,0.5047
662,0.03,95,5,350.6,0.5047
663,0.03,95,5,348.3,0.5047
664,0.02,95,5,346.1,0.5047
665,0.02,95,5,343.6,0.5047
666,0.02,95,5,341.0,0.5047
667,0.01,95,5,338.7,0.5047
668,0.01,95,5,336.2,0.5047
669,0.01,95,5,333.8,0.5047
670,0.00,95,5,331.4,0.5047
671,0.00,95,5,329.0,0.5047
672,0.00,95,5,326.7,0.5047
673,0.00,95,5,324.2,0.5047
674,0.00,95,5,321.9,0.5047
675,0.00,95,5,319.5,0.5047
676,0.00,95,5,317.3,0.5047
677,0.00,95,5,314.9,0.5047
678,0.00,95,5,312.6,0.5047
679,0.00,95,5,310.3,0.5047
680,0.00,95,5,307.9,0.5047
681,0.01,95,5,305.7,0.5047
682,0.01,95,5,303.4,0.5047
683,0.01,95,5,301.2,0.5047
684,0.02,95,5,298.9,0.5047
685,0.02,95,5,296.7,0.5047
686,0.02,95,5,294.7,0.5047
687,0.03,95,5,292.6,0.5047
688,0.03,95,5,290.7,0.5047
689,0.04,95,5,288.7,0.5047
690,0.04,95,5,286.7,0.5047
691,0.05,95,5,285.0,0.5047
692,0.05,95,5,283.3,0.5047
693,0.06,95,5,281.5,0.5047
694,0.06,95,5,280.0,0.5047
695,0.07,95,5,278.5,0.5047
696,0.08,95,5,277.0,0.5047
697,0.08,95,5,275.5,0.5047
698,0.09,95,5,274.2,0.5047
699,0.09,95,5,272.9,0.5047
700,0.10,95,5,271.7,0.5047
701,0.11,95,5,270.6,0.5047
702,0.11,95,5,269.6,0.5047
703,0.12,95,5,268.5,0.5047
