tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
609,0.77,95,5,711.6,0.4373
610,0.79,95,5,714.0,0.4373
611,0.82,95,5,716.5,0.4373
612,0.84,95,5,719.6,0.4373
613,0.86,95,5,723.3,0.4373
614,0.89,95,5,727.1,0.4373
615,0.90,95,5,731.0,0.4373
616,0.92,95,5,734.7,0.4373
617,0.94,95,5,738.8,0.4373
618,0.95,95,5,742.9,0.4373
619,0.96,95,5,747.4,0.4373
620,0.98,95,5,755.9,0.4383
621,0.98,95,5,760.1,0.4383
622,0.99,95,5,764.4,0.4383
623,1.00,95,5,768.7,0.4383
624,1.00,95,5,773.0,0.4383
625,1.00,95,5,777.2,0.4383
626,1.00,95,5,781.4,0.4383
627,1.00,95,5,785.6,0.4383
628,0.99,95,5,789.9,0.4383
629,0.98,95,5,793.9,0.4383
630,0.98,95,5,802.9,0.4336
631,0.96,95,5,806.5,0.4336
632,0.95,95,5,810.6,0.4336
633,0.94,95,5,814.4,0.4336
634,0.92,95,5,818.0,0.4336
635,0.90,95,5,821.4,0.4336
636,0.89,95,5,824.8,0.4336
637,0.86,95,5,827.7,0.4336
638,0.84,95,5,830.4,0.4336
639,0.82,95,5,833.1,0.4336
640,0.79,95,5,835.6,0.4336
641,0.77,95,5,837.8,0.4336
642,0.74,95,5,844.9,0.4342
643,0.71,95,5,845.9,0.4342
644,0.68,95,5,846.9,0.4342
645,0.65,95,5,847.8,0.4342
646,0.62,95,5,848.3,0.4342
647,0.59,95,5,848.5,0.4342
648,0.56,95,5,848.4,0.4342
649,0.53,95,5,848.1,0.4342
650,0.50,95,5,847.3,0.4342
651,0.47,95,5,851.5,0.4359
652,0.44,95,5,850.0,0.4359
653,0.41,95,5,848.3,0.4359
654,0.38,95,5,846.2,0.4359
655,0.35,95,5,843.9,0.4359
656,0.32,95,5,841.4,0.4359
657,0.29,95,5,838.5,0.4359
658,0.26,95,5,835.5,0.4359
659,0.23,95,5,832.1,0.4359
660,0.21,95,5,833.4,0.4359
661,0.18,95,5,829.2,0.4359
662,0.16,95,5,825.3,0.4359
663,0.14,95,5,820.9,0.4359
664,0.11,95,5,816.4,0.4359
665,0.10,95,5,811.7,0.4359
666,0.08,95,5,811.9,0.4384
667,0.06,95,5,806.9,0.4384
668,0.05,95,5,801.9,0.4384
669,0.04,95,5,796.7,0.4384
670,0.02,95,5,791.6,0.4384
671,0.02,95,5,786.3,0.4384
672,0.01,95,5,786.0,0.4392
673,0.00,95,5,780.4,0.4392
674,0.00,95,5,775.0,0.4392
675,0.00,95,5,774.5,0.4395
676,0.00,95,5,768.7,0.4395
677,0.00,95,5,763.3,0.4395
678,0.01,95,5,757.8,0.4395
679,0.02,95,5,752.4,0.4395
680,0.02,95,5,747.2,0.4395
681,0.04,95,5,742.0,0.4395
682,0.05,95,5,737.4,0.4395
683,0.06,95,5,732.8,0.4395
684,0.08,95,5,733.4,0.4396
685,0.10,95,5,733.9,0.4421
686,0.11,95,5,729.4,0.4421
687,0.14,95,5,725.1,0.4421
688,0.16,95,5,721.0,0.4421
689,0.18,95,5,717.7,0.4421
690,0.21,95,5,714.6,0.4421
691,0.23,95,5,711.9,0.4421
692,0.26,95,5,714.5,0.4414
693,0.29,95,5,711.9,0.4414
694,0.32,95,5,709.9,0.4414
695,0.35,95,5,708.0,0.4414
696,0.38,95,5,706.5,0.4414
697,0.41,95,5,705.2,0.4414
698,0.44,95,5,704.2,0.4414
699,0.47,95,5,703.6,0.4414
700,0.50,95,5,703.8,0.4414
701,0.53,95,5,704.1,0.4414
702,0.56,95,5,704.9,0.4414
703,0.59,95,5,706.1,0.4414
704,0.62,95,5,712.5,0.4401
705,0.65,95,5,714.1,0.4401
706,0.68,95,5,716.0,0.4401
707,0.71,95,5,718.2,0.4401
708,0.74,95,5,720.7,0.4401
709,0.77,95,5,723.6,0.4401
710,0.79,95,5,726.6,0.4401
711,0.82,95,5,729.5,0.4401
712,0.84,95,5,733.0,0.4401
713,0.86,95,5,736.8,0.4401
714,0.89,95,5,740.8,0.4401
715,0.90,95,5,749.6,0.4427
716,0.92,95,5,753.4,0.4427
717,0.94,95,5,757.3,0.4427
718,0.95,95,5,761.4,0.4427
719,0.96,95,5,765.5,0.4427
720,0.98,95,5,769.8,0.4427
721,0.98,95,5,774.0,0.4427
722,0.99,95,5,778.5,0.4427
723,1.00,95,5,782.9,0.4427
724,1.00,95,5,787.4,0.4427
725,1.00,95,5,791.7,0.4427
726,1.00,95,5,796.3,0.4427
727,1.00,95,5,800.9,0.4427
728,0.99,95,5,805.4,0.4427
729,0.98,95,5,809.6,0.4427
730,0.98,95,5,813.9,0.4427
731,0.96,95,5,818.3,0.4427
732,0.95,95,5,822.4,0.4427
733,0.94,94,5,835.0,0.4452
734,0.92,95,5,835.0,0.4456
735,0.90,95,5,838.4,0.4456
736,0.89,95,5,841.7,0.4456
737,0.86,95,5,844.8,0.4456
738,0.84,95,5,847.7,0.4456
739,0.82,95,5,850.1,0.4456
740,0.79,95,5,852.3,0.4456
741,0.77,95,5,854.3,0.4456
742,0.74,95,5,856.1,0.4456
743,0.71,95,5,857.5,0.4456
744,0.68,95,5,858.2,0.4456
745,0.65,95,5,859.0,0.4456
746,0.62,95,5,859.9,0.4456
747,0.59,95,5,860.6,0.4456
748,0.56,95,5,860.9,0.4456
749,0.53,95,5,860.9,0.4456
750,0.50,95,5,860.6,0.4456
751,0.47,95,5,864.9,0.4439
752,0.44,95,5,863.6,0.4439
753,0.41,95,5,862.1,0.4439
754,0.38,95,5,860.3,0.4439
755,0.35,95,5,858.1,0.4439
756,0.32,95,5,855.8,0.4439
757,0.29,95,5,853.1,0.4439
758,0.26,95,5,850.2,0.4439
759,0.23,95,5,847.1,0.4439
760,0.21,95,5,843.5,0.4439
761,0.18,95,5,840.1,0.4439
762,0.16,95,5,836.4,0.4439
763,0.14,95,5,832.7,0.4439
764,0.11,95,5,828.7,0.4439
765,0.10,95,5,834.5,0.4420
766,0.08,95,5,829.6,0.4420
767,0.06,95,5,824.5,0.4420
768,0.05,95,5,819.4,0.4420
769,0.04,95,5,814.1,0.4420
770,0.02,95,5,808.8,0.4420
771,0.02,95,5,803.4,0.4420
772,0.01,95,5,798.0,0.4420
773,0.00,95,5,792.5,0.4420
774,0.00,95,5,787.2,0.4420
775,0.00,95,5,781.8,0.4420
776,0.00,95,5,776.6,0.4420
777,0.00,95,5,771.3,0.4420
778,0.01,95,5,766.0,0.4420
779,0.02,95,5,761.0,0.4420
780,0.02,95,5,756.3,0.4420
781,0.04,95,5,751.6,0.4420
782,0.05,95,5,747.1,0.4420
783,0.06,95,5,742.7,0.4420
784,0.08,95,5,738.7,0.4420
785,0.10,95,5,735.0,0.4420
786,0.11,95,5,736.4,0.4398
787,0.14,95,5,732.9,0.4398
788,0.16,95,5,734.4,0.4436
789,0.18,95,5,730.8,0.4436
790,0.21,95,5,732.5,0.4430
791,0.23,95,5,729.3,0.4430
792,0.26,95,5,726.3,0.4430
793,0.29,95,5,723.6,0.4430
794,0.32,95,5,721.2,0.4430
795,0.35,95,5,719.1,0.4430
796,0.38,95,5,717.2,0.4430
797,0.41,95,5,715.8,0.4430
798,0.44,95,5,714.6,0.4430
799,0.47,95,5,714.2,0.4430
800,0.50,95,5,714.0,0.4430
801,0.53,95,5,714.2,0.4430
802,0.56,95,5,714.7,0.4430
803,0.59,95,5,715.5,0.4430
804,0.62,95,5,716.8,0.4430
805,0.65,95,5,718.6,0.4430
806,0.68,95,5,720.5,0.4430
807,0.71,95,5,722.9,0.4430
808,0.74,95,5,725.0,0.4430
809,0.77,95,5,728.1,0.4430
810,0.79,95,5,731.3,0.4430
