tick,lord_energy,peasant_count,wolf_count,knights_active
262,2734.0,12,1,5
263,2733.0,12,1,5
264,2732.0,12,1,5
265,2731.0,12,1,5
266,2730.0,12,1,5
267,2729.0,12,1,5
268,2728.0,12,1,5
269,2727.0,12,1,5
270,2726.0,12,1,5
271,2725.0,12,1,5
272,2724.0,12,1,5
273,2723.0,12,1,5
274,2722.0,12,1,5
275,2721.0,12,1,5
276,2720.0,12,1,5
277,2719.0,12,1,5
278,2718.0,12,1,5
279,2717.0,12,1,5
280,2716.0,12,1,5
281,2715.0,12,1,5
282,2714.0,12,1,5
283,2713.0,12,1,5
284,2712.0,12,1,5
285,2711.0,12,1,5
286,2710.0,12,1,5
287,2709.0,12,1,5
288,2708.0,12,1,5
289,2707.0,12,1,5
290,2706.0,12,1,5
291,2705.0,12,1,5
292,2704.0,12,1,5
293,2703.0,11,1,5
294,2700.0,11,1,5
295,2697.0,11,1,5
296,2694.0,11,0,5
297,2691.0,11,0,5
298,2688.0,11,0,5
299,2685.0,11,0,5
300,2682.0,11,1,5
301,2679.0,11,1,5
302,2676.0,11,1,5
303,2673.0,11,1,5
304,2670.0,11,1,5
305,2667.0,11,1,5
306,2664.0,11,1,5
307,2661.0,11,1,5
308,2658.0,11,1,5
309,2655.0,11,1,5
310,2652.0,11,1,5
311,2649.0,11,1,5
312,2646.0,11,1,5
313,2643.0,11,1,5
314,2640.0,11,1,5
315,2637.0,11,1,5
316,2634.0,11,1,5
317,2631.0,11,1,5
318,2628.0,11,1,5
319,2625.0,11,1,5
320,2622.0,11,1,5
321,2619.0,11,1,5
322,2616.0,11,1,5
323,2613.0,11,1,5
324,2610.0,11,1,5
325,2607.0,11,1,5
326,2604.0,11,1,5
327,2601.0,11,1,5
328,2598.0,11,1,5
329,2595.0,11,1,5
330,2592.0,11,1,5
331,2589.0,11,1,5
332,2586.0,11,1,5
333,2583.0,11,1,5
334,2580.0,11,1,5
335,2577.0,11,1,5
336,2574.0,11,1,5
337,2571.0,11,1,5
