tick,pop_stark,pop_lannister,pop_targ,pop_baratheon,cannibal_acts
538,0,0,0,0,61
539,0,0,0,0,57
540,0,0,0,0,59
541,0,0,0,0,58
542,0,0,0,0,56
543,0,0,0,0,58
544,0,0,0,0,62
545,0,0,0,0,55
546,0,0,0,0,53
547,0,0,0,0,52
548,0,0,0,0,54
549,0,0,0,0,47
550,0,0,0,0,54
551,0,0,0,0,53
552,0,0,0,0,59
553,0,0,0,0,57
554,0,0,0,0,57
555,0,0,0,0,58
556,0,0,0,0,57
557,0,0,0,0,56
558,0,0,0,0,55
559,0,0,0,0,50
560,0,0,0,0,57
561,0,0,0,0,59
562,0,0,0,0,56
563,0,0,0,0,59
564,0,0,0,0,59
565,0,0,0,0,66
566,0,0,0,0,63
567,0,0,0,0,67
568,0,0,0,0,73
569,0,0,0,0,60
570,0,0,0,0,70
571,0,0,0,0,66
572,0,0,0,0,69
573,0,0,0,0,72
574,0,0,0,0,71
575,0,0,0,0,75
576,0,0,0,0,80
577,0,0,0,0,79
578,0,0,0,0,77
579,0,0,0,0,78
580,0,0,0,0,79
581,0,0,0,0,79
582,0,0,0,0,75
583,0,0,0,0,79
584,0,0,0,0,73
585,0,0,0,0,75
586,0,0,0,0,71
587,0,0,0,0,76
588,0,0,0,0,81
589,0,0,0,0,85
590,0,0,0,0,81
591,0,0,0,0,86
592,0,0,0,0,83
593,0,0,0,0,80
594,0,0,0,0,75
595,0,0,0,0,77
596,0,0,0,0,80
597,0,0,0,0,73
598,0,0,0,0,74
599,0,0,0,0,75
600,0,0,0,0,69
601,0,0,0,0,72
602,0,0,0,0,68
603,0,0,0,0,69
604,0,0,0,0,72
605,0,0,0,0,72
606,0,0,0,0,70
607,0,0,0,0,73
608,0,0,0,0,68
609,0,0,0,0,66
610,0,0,0,0,69
611,0,0,0,0,62
612,0,0,0,0,67
613,0,0,0,0,64
614,0,0,0,0,69
615,0,0,0,0,69
616,0,0,0,0,66
617,0,0,0,0,66
618,0,0,0,0,69
619,0,0,0,0,65
620,0,0,0,0,65
621,0,0,0,0,62
622,0,0,0,0,63
623,0,0,0,0,60
624,0,0,0,0,57
625,0,0,0,0,61
626,0,0,0,0,63
627,0,0,0,0,63
628,0,0,0,0,66
629,0,0,0,0,63
630,0,0,0,0,68
631,0,0,0,0,61
632,0,0,0,0,69
633,0,0,0,0,63
634,0,0,0,0,69
635,0,0,0,0,69
636,0,0,0,0,68
637,0,0,0,0,65
638,0,0,0,0,67
639,0,0,0,0,63
640,0,0,0,0,63
641,0,0,0,0,66
642,0,0,0,0,65
643,0,0,0,0,61
644,0,0,0,0,63
645,0,0,0,0,64
646,0,0,0,0,60
