tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff
248,192,50,0.4683,0.5021,0.9055
249,196,50,0.4714,0.5021,0.9057
250,194,50,0.4701,0.5021,0.9078
251,194,50,0.4674,0.5021,0.9057
252,194,50,0.4691,0.5021,0.9053
253,196,50,0.4668,0.5021,0.9069
254,196,50,0.4664,0.5021,0.9061
255,198,50,0.4663,0.5021,0.9108
256,195,50,0.4690,0.5021,0.9143
257,192,50,0.4666,0.5021,0.9131
258,195,50,0.4627,0.5021,0.9124
259,194,50,0.4606,0.5021,0.9145
260,195,50,0.4591,0.5021,0.9110
261,197,50,0.4592,0.5021,0.9104
262,194,50,0.4615,0.5021,0.9100
263,193,50,0.4610,0.5021,0.9085
264,197,50,0.4648,0.5021,0.9119
265,192,50,0.4660,0.5021,0.9125
266,196,50,0.4656,0.5021,0.9119
267,192,50,0.4677,0.5021,0.9148
268,194,50,0.4619,0.5021,0.9114
269,196,50,0.4648,0.5021,0.9131
270,194,50,0.4635,0.5021,0.9136
271,196,50,0.4677,0.5021,0.9142
272,196,50,0.4725,0.5021,0.9153
273,194,50,0.4813,0.5021,0.9144
274,196,50,0.4820,0.5021,0.9155
275,196,50,0.4765,0.5021,0.9116
276,194,50,0.4734,0.5021,0.9092
277,192,50,0.4771,0.5021,0.9152
278,194,50,0.4778,0.5021,0.9172
279,198,50,0.4802,0.5021,0.9201
280,193,50,0.4760,0.5021,0.9178
281,196,50,0.4810,0.5021,0.9144
282,197,50,0.4831,0.5021,0.9154
283,195,50,0.4897,0.5021,0.9146
284,197,50,0.4879,0.5021,0.9120
285,194,50,0.4924,0.5021,0.9110
286,192,50,0.4924,0.5021,0.9065
287,195,50,0.4945,0.5021,0.9057
288,194,50,0.4964,0.5021,0.9047
289,195,50,0.4922,0.5021,0.9073
290,198,50,0.4968,0.5021,0.9059
291,196,50,0.4989,0.5021,0.9099
292,196,50,0.5038,0.5021,0.9114
293,194,50,0.5049,0.5021,0.9096
294,194,50,0.5039,0.5021,0.9060
295,195,50,0.5049,0.5021,0.9041
296,191,50,0.5042,0.5021,0.9081
297,194,50,0.5067,0.5021,0.9072
298,197,50,0.5055,0.5021,0.9078
299,194,50,0.5043,0.5021,0.9076
300,198,50,0.5081,0.5021,0.9067
301,190,50,0.5087,0.5021,0.9037
302,195,50,0.5079,0.5021,0.9029
303,198,50,0.5051,0.5021,0.9030
304,196,50,0.5069,0.5021,0.9006
305,195,50,0.5080,0.5021,0.9046
306,195,50,0.5105,0.5021,0.9062
307,193,50,0.5081,0.5021,0.9066
308,195,50,0.5082,0.5021,0.9076
309,194,50,0.5165,0.5021,0.9048
310,196,50,0.5215,0.5021,0.9074
311,195,50,0.5248,0.5021,0.9015
312,194,50,0.5217,0.5021,0.9019
313,196,50,0.5216,0.5021,0.9035
314,190,50,0.5235,0.5021,0.9035
315,195,50,0.5225,0.5021,0.9043
316,196,50,0.5247,0.5021,0.9046
317,194,50,0.5263,0.5021,0.9025
318,195,50,0.5270,0.5021,0.9036
319,195,50,0.5305,0.5021,0.9052
320,198,50,0.5292,0.5021,0.9046
321,199,50,0.5290,0.5021,0.9047
322,195,50,0.5273,0.5021,0.9026
323,199,50,0.5261,0.5021,0.9007
324,195,50,0.5273,0.5021,0.8961
325,196,50,0.5297,0.5021,0.8964
326,191,50,0.5301,0.5021,0.8933
327,195,50,0.5319,0.5021,0.8910
328,192,50,0.5403,0.5021,0.8891
329,196,50,0.5417,0.5021,0.8911
330,197,50,0.5447,0.5021,0.8944
331,198,50,0.5396,0.5021,0.8943
332,195,50,0.5350,0.5021,0.8968
333,193,50,0.5341,0.5021,0.8940
334,193,50,0.5365,0.5021,0.8947
335,195,50,0.5352,0.5021,0.8961
336,197,50,0.5370,0.5021,0.8909
337,198,50,0.5368,0.5021,0.8917
338,192,50,0.5344,0.5021,0.8935
339,196,50,0.5356,0.5021,0.8977
340,197,50,0.5363,0.5021,0.8967
341,195,50,0.5394,0.5021,0.8979
342,196,50,0.5372,0.5021,0.8949
343,193,50,0.5431,0.5021,0.8913
344,195,50,0.5494,0.5021,0.8882
345,195,50,0.5485,0.5021,0.8851
346,192,50,0.5503,0.5021,0.8848
347,196,50,0.5556,0.5021,0.8850
348,197,50,0.5573,0.5021,0.8835
349,195,50,0.5584,0.5021,0.8830
350,192,50,0.5680,0.5021,0.8782
351,196,50,0.5696,0.5021,0.8814
352,194,50,0.5740,0.5021,0.8805
353,197,50,0.5754,0.5021,0.8815
354,196,50,0.5777,0.5021,0.8803
355,196,50,0.5839,0.5021,0.8779
356,193,50,0.5904,0.5021,0.8743
357,195,50,0.5923,0.5021,0.8732
358,198,50,0.5937,0.5021,0.8745
359,194,50,0.5974,0.5021,0.8712
360,196,50,0.6004,0.5021,0.8729
361,195,50,0.6018,0.5021,0.8691
362,196,50,0.6026,0.5021,0.8702
363,197,50,0.6027,0.5021,0.8759
364,195,50,0.6064,0.5021,0.8716
365,196,50,0.6109,0.5021,0.8744
366,197,50,0.6112,0.5021,0.8744
367,198,50,0.6122,0.5021,0.8740
368,196,50,0.6137,0.5021,0.8722
369,193,50,0.6190,0.5021,0.8738
370,196,50,0.6266,0.5021,0.8707
371,199,50,0.6260,0.5021,0.8726
372,192,50,0.6277,0.5021,0.8750
373,196,50,0.6356,0.5021,0.8729
374,193,50,0.6382,0.5021,0.8709
375,195,50,0.6407,0.5021,0.8735
376,195,50,0.6482,0.5021,0.8714
377,194,50,0.6575,0.5021,0.8661
378,196,50,0.6604,0.5021,0.8671
379,193,50,0.6634,0.5021,0.8640
380,195,50,0.6716,0.5021,0.8603
381,197,50,0.6740,0.5021,0.8585
382,196,50,0.6763,0.5021,0.8576
383,196,50,0.6758,0.5021,0.8550
384,197,50,0.6788,0.5021,0.8536
