tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
170,190,10,0.8778,0.5084,0.8584,0.4937
171,190,10,0.8778,0.5084,0.8584,0.4937
172,190,10,0.8778,0.5084,0.8584,0.4937
173,190,10,0.8778,0.5084,0.8584,0.4937
174,190,10,0.8778,0.5084,0.8584,0.4937
175,190,10,0.8778,0.5084,0.8584,0.4937
176,190,10,0.8778,0.5084,0.8584,0.4937
177,190,10,0.8778,0.5084,0.8584,0.4937
178,190,10,0.8778,0.5084,0.8584,0.4937
179,190,10,0.8778,0.5084,0.8584,0.4937
180,190,10,0.8778,0.5084,0.8584,0.4937
181,190,10,0.8778,0.5084,0.8584,0.4937
182,190,10,0.8778,0.5084,0.8584,0.4937
183,190,10,0.8778,0.5084,0.8584,0.4937
184,190,10,0.8778,0.5084,0.8584,0.4937
185,190,10,0.8778,0.5084,0.8584,0.4937
186,190,10,0.8778,0.5084,0.8584,0.4937
187,190,10,0.8778,0.5084,0.8584,0.4937
188,190,10,0.8778,0.5084,0.8584,0.4937
189,190,10,0.8778,0.5084,0.8584,0.4937
190,190,10,0.8778,0.5084,0.8584,0.4937
191,190,10,0.8778,0.5084,0.8584,0.4937
192,190,10,0.8778,0.5084,0.8584,0.4937
193,190,10,0.8778,0.5084,0.8584,0.4937
194,190,10,0.8778,0.5084,0.8584,0.4937
195,190,10,0.8778,0.5084,0.8584,0.4937
196,190,10,0.8778,0.5084,0.8584,0.4937
197,190,10,0.8778,0.5084,0.8584,0.4937
198,190,10,0.8778,0.5084,0.8584,0.4937
199,190,10,0.8778,0.5084,0.8584,0.4937
200,190,10,0.8778,0.5084,0.8584,0.4937
201,190,10,0.8778,0.5084,0.8584,0.4937
202,190,10,0.8778,0.5084,0.8584,0.4937
203,190,10,0.8778,0.5084,0.8584,0.4937
204,190,10,0.8778,0.5084,0.8584,0.4937
205,190,10,0.8778,0.5084,0.8584,0.4937
206,190,10,0.8778,0.5084,0.8584,0.4937
207,190,10,0.8778,0.5084,0.8584,0.4937
208,190,10,0.8778,0.5084,0.8584,0.4937
209,190,10,0.8778,0.5084,0.8584,0.4937
210,190,10,0.8778,0.5084,0.8584,0.4937
211,190,10,0.8778,0.5084,0.8584,0.4937
212,190,10,0.8778,0.5084,0.8584,0.4937
213,190,10,0.8778,0.5084,0.8584,0.4937
214,190,10,0.8778,0.5084,0.8584,0.4937
215,190,10,0.8778,0.5084,0.8584,0.4937
216,190,10,0.8778,0.5084,0.8584,0.4937
217,190,10,0.8778,0.5084,0.8584,0.4937
218,190,10,0.8778,0.5084,0.8584,0.4937
219,190,10,0.8778,0.5084,0.8584,0.4937
220,190,10,0.8778,0.5084,0.8584,0.4937
221,190,10,0.8778,0.5084,0.8584,0.4937
222,190,10,0.8778,0.5084,0.8584,0.4937
223,190,10,0.8778,0.5084,0.8584,0.4937
224,190,10,0.8778,0.5084,0.8584,0.4937
225,190,10,0.8778,0.5084,0.8584,0.4937
226,190,10,0.8778,0.5084,0.8584,0.4937
227,190,10,0.8778,0.5084,0.8584,0.4937
228,190,10,0.8778,0.5084,0.8584,0.4937
229,190,10,0.8778,0.5084,0.8584,0.4937
230,190,10,0.8778,0.5084,0.8584,0.4937
231,190,10,0.8778,0.5084,0.8584,0.4937
232,190,10,0.8778,0.5084,0.8584,0.4937
233,190,10,0.8778,0.5084,0.8584,0.4937
234,190,10,0.8778,0.5084,0.8584,0.4937
235,190,10,0.8778,0.5084,0.8584,0.4937
236,190,10,0.8778,0.5084,0.8584,0.4937
237,190,10,0.8778,0.5084,0.8584,0.4937
238,190,10,0.8778,0.5084,0.8584,0.4937
239,190,10,0.8778,0.5084,0.8584,0.4937
240,190,10,0.8778,0.5084,0.8584,0.4937
241,190,10,0.8778,0.5084,0.8584,0.4937
242,190,10,0.8778,0.5084,0.8584,0.4937
243,190,10,0.8778,0.5084,0.8584,0.4937
244,190,10,0.8778,0.5084,0.8584,0.4937
245,190,10,0.8778,0.5084,0.8584,0.4937
246,190,10,0.8778,0.5084,0.8584,0.4937
247,190,10,0.8778,0.5084,0.8584,0.4937
248,190,10,0.8778,0.5084,0.8584,0.4937
