tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
77,18,0,358.4216793062249,209.52570279018786
78,19,0,362.29777934481683,214.2814915614422
79,19,0,364.86441065003476,219.8572807353404
80,19,0,365.4263804457262,224.68922635855233
81,19,0,366.4447544962799,231.4362061759049
82,19,0,367.3816395513648,236.00984002822983
83,19,0,367.56740592316777,241.39066962224828
84,19,2,368.2388748027574,247.83659053920357
85,19,3,370.5170907795719,255.0345665493057
86,20,4,371.14903881811017,260.68252692323796
87,20,5,371.05407010190777,264.94188329354074
88,20,6,371.93446841630623,270.7358917645929
89,20,6,371.81370426212715,276.0771617761325
90,20,6,370.3893097584893,280.6846759240318
91,20,6,370.984924315315,287.46750757751425
92,20,7,370.8934589193565,292.1046450309
93,20,8,372.9735143547086,296.4176716366572
94,20,8,372.2316475294947,301.94481164652245
95,20,9,371.7259816193631,306.96672116231673
96,20,10,371.20623548035417,312.0367226005809
97,20,12,372.96674143020783,318.1980114979476
98,20,12,374.1305151542565,322.5556197345662
99,20,12,372.6946709906825,325.11098774939126
100,20,13,372.9983379655538,330.6215672751185
101,20,13,373.1126417705288,335.5856296612516
102,20,13,373.1707207279145,338.8957053923031
103,20,13,374.01751057518504,341.22378114405313
104,20,14,375.54939846408007,344.2610628190979
105,20,15,375.2801057077293,345.43493382574314
106,20,16,374.1883321350536,348.11989420663843
107,20,16,374.31131018500076,349.6162431288045
108,20,16,375.1408522805397,350.69661822071225
109,20,17,374.7950636722242,353.59642636233633
110,20,17,375.95486330329027,357.662957162118
111,20,17,374.76263215286633,359.61884934551784
112,20,17,374.644066506873,361.0755744276574
113,20,17,374.72393123248565,362.41432637644147
114,20,17,375.50850619429775,363.7491612513426
115,20,18,375.46743234264125,364.3962941845215
116,20,18,375.4534287763308,366.2782206757275
117,20,18,375.4224796094719,368.11503992523166
118,20,19,374.95615929678047,370.18906936591435
119,20,19,375.19766425762054,370.17935618081293
120,20,19,375.41189783982276,372.2450623740928
121,20,19,376.45672066734244,372.4031232955364
122,20,19,377.26547641341574,371.9602595224378
123,20,20,375.572723767022,372.84649665963894
124,20,20,376.9988613508888,373.88514483171934
125,20,20,376.69927035606634,375.444206676104
126,20,20,377.8960630781844,375.5593722810689
127,20,20,376.14088320279666,376.23140594042883
128,20,20,376.3146086539597,375.74026259238804
129,20,20,376.3813568590961,375.7955044872181
130,20,20,377.8594461411086,376.87584266376194
131,20,20,376.48589770772674,377.2812065533757
132,20,21,375.87679798950666,376.9700187210094
133,20,21,377.07235811016227,377.4784992208067
134,20,21,376.51943246973764,377.8071476151361
135,20,21,377.05927543406403,377.3183749698223
136,20,21,376.8992534826752,377.944222271404
137,20,21,376.50408938482167,379.3089841864215
138,21,21,377.9764603169598,379.8013043021177
139,21,21,378.9478944273809,379.3181998698705
140,21,21,378.194423464488,379.2628653360343
141,21,21,377.0523841722459,379.9486530184696
