tick,pop_boss,pop_worker,avg_nrg_boss,avg_nrg_worker,contracts
462,20,180,5768.1,190.5,180
463,20,180,5757.8,190.2,180
464,20,180,5747.5,189.9,180
465,20,180,5737.0,189.5,180
466,20,180,5726.4,189.2,180
467,20,180,5715.8,188.9,180
468,20,180,5705.0,188.5,180
469,20,180,5694.1,188.2,180
470,20,180,5683.1,187.8,180
471,20,180,5672.1,187.5,180
472,20,180,5660.9,187.1,180
473,20,180,5649.8,186.8,180
474,20,180,5638.5,186.4,180
475,20,180,5627.2,186.0,180
476,20,180,5615.8,185.7,180
477,20,180,5604.4,185.3,180
478,20,180,5593.0,184.9,180
479,20,180,5581.5,184.5,180
480,20,180,5569.9,184.2,180
481,20,180,5558.4,183.8,180
482,20,180,5546.8,183.4,180
483,20,180,5535.2,183.0,180
484,20,180,5523.6,182.6,180
485,20,180,5511.9,182.3,180
486,20,180,5500.3,181.9,180
487,20,180,5488.6,181.5,180
488,20,180,5476.9,181.1,180
489,20,180,5465.2,180.7,180
490,20,180,5453.6,180.4,180
491,20,180,5441.9,180.0,180
492,20,180,5430.2,179.6,180
493,20,180,5418.5,179.2,180
494,20,180,5406.8,178.8,180
495,20,180,5395.2,178.4,180
496,20,180,5383.5,178.0,180
497,20,180,5371.9,177.7,180
498,20,180,5360.3,177.3,180
499,20,180,5348.7,176.9,180
500,20,180,5337.1,176.5,180
501,20,180,5325.5,176.1,180
502,20,180,5314.0,175.8,180
503,20,180,5302.4,175.4,180
504,20,180,5290.9,175.0,180
505,20,180,5279.4,174.6,180
506,20,180,5268.0,174.2,180
507,20,180,5256.5,173.9,180
508,20,180,5245.1,173.5,180
509,20,180,5233.8,173.1,180
510,20,180,5222.4,172.7,180
511,20,180,5211.1,172.3,180
512,20,180,5199.8,172.0,180
513,20,180,5188.6,171.6,180
514,20,180,5177.3,171.2,180
515,20,180,5166.1,170.9,180
516,20,180,5155.0,170.5,180
517,20,180,5143.8,170.1,180
518,20,180,5132.8,169.8,180
519,20,180,5121.7,169.4,180
520,20,180,5110.7,169.0,180
521,20,180,5099.7,168.7,180
522,20,180,5088.7,168.3,180
523,20,180,5077.8,167.9,180
524,20,180,5066.9,167.6,180
525,20,180,5056.1,167.2,180
526,20,180,5045.3,166.8,180
527,20,180,5034.5,166.5,180
528,20,180,5023.8,166.1,180
529,20,180,5013.1,165.8,180
530,20,180,5002.4,165.4,180
531,20,180,4991.8,165.1,180
532,20,180,4981.2,164.7,180
533,20,180,4970.7,164.4,180
534,20,180,4960.2,164.0,180
535,20,180,4949.7,163.7,180
536,20,180,4939.3,163.3,180
537,20,180,4928.9,163.0,180
538,20,180,4918.5,162.6,180
539,20,180,4908.2,162.3,180
540,20,180,4897.9,162.0,180
541,20,180,4887.7,161.6,180
542,20,180,4877.5,161.3,180
