tick,pop_ancient,pop_primitive,avg_nrg_ancient,avg_nrg_prim
457,186,14,594.7,565.9
458,186,14,598.3,534.1
459,186,14,591.9,544.6
460,186,14,591.2,618.7
461,186,14,570.8,653.0
462,186,14,564.3,587.3
463,186,14,592.0,527.9
464,186,14,585.0,538.7
465,186,14,593.9,580.4
466,186,14,594.0,550.3
467,186,14,601.5,623.0
468,186,14,578.8,620.4
469,186,14,582.8,553.6
470,186,14,600.9,525.4
471,185,14,598.1,535.8
472,186,14,601.7,577.1
473,186,14,599.8,614.0
474,186,14,583.9,615.3
475,186,14,589.2,616.2
476,186,14,581.7,616.9
477,186,14,574.3,585.1
478,186,14,589.1,588.6
479,186,14,583.8,559.4
480,186,14,602.8,529.6
481,186,14,595.4,599.1
482,186,14,573.8,565.2
483,186,14,577.2,531.1
484,186,14,587.6,603.9
485,186,14,586.9,572.5
486,186,14,580.4,576.4
487,186,14,611.0,515.5
488,186,14,609.7,621.5
489,186,14,584.0,651.9
490,186,14,570.0,615.1
491,186,14,560.0,581.9
492,186,14,580.2,584.2
493,186,14,593.9,586.1
494,186,14,598.2,551.9
495,186,14,595.1,621.2
496,186,14,572.4,583.0
497,186,14,574.3,616.5
498,186,14,575.0,614.5
499,186,14,578.9,580.4
500,186,14,589.0,582.0
501,186,14,586.4,583.2
502,186,14,602.8,616.3
503,186,14,581.3,581.3
504,186,14,578.9,550.0
505,186,14,561.8,550.4
506,186,14,587.8,551.1
507,186,14,591.0,487.2
508,186,14,592.1,594.4
509,186,14,587.3,557.6
510,186,14,583.3,560.4
511,186,14,564.4,530.5
512,186,14,562.4,568.1
513,186,14,570.5,601.4
514,186,14,576.8,599.1
515,186,14,587.8,597.0
516,186,14,597.8,530.5
517,186,14,589.8,564.2
518,186,14,574.8,629.6
519,186,14,580.8,591.2
520,186,14,598.8,549.7
521,186,14,579.7,616.3
522,186,14,604.6,579.2
523,186,14,594.8,610.4
524,186,14,581.4,637.9
525,186,14,576.3,597.8
526,186,14,589.1,562.1
527,186,14,581.0,562.4
528,186,14,580.4,555.4
529,186,14,584.3,588.7
530,186,14,589.7,585.9
531,186,14,580.7,647.5
532,186,14,567.2,605.5
533,186,14,572.4,536.0
534,186,14,569.1,535.0
535,185,14,575.0,533.9
536,186,14,584.9,533.3
537,186,14,587.4,628.8
538,186,14,582.5,620.4
539,186,14,592.8,544.9
540,186,14,587.8,578.0
541,186,14,576.0,539.3
542,186,14,583.3,569.1
543,186,14,590.5,631.0
544,186,14,584.4,653.4
545,186,14,586.1,573.5
546,186,14,580.7,570.5
547,186,14,587.7,496.3
548,186,14,586.9,534.2
549,186,14,597.4,663.9
550,186,14,611.8,649.7
551,186,14,617.4,601.6
552,186,14,593.5,562.6
553,186,14,593.9,560.1
554,186,14,584.8,589.9
555,186,14,585.1,551.7
556,186,14,595.8,514.3
557,186,14,614.7,481.2
558,186,14,590.2,544.8
559,186,14,582.5,607.7
560,186,14,590.6,599.2
561,186,14,595.2,591.4
562,186,14,604.1,520.1
563,186,14,611.8,553.6
564,186,14,592.0,643.7
565,186,14,581.7,594.6
566,186,14,584.5,619.1
567,186,14,586.3,608.2
568,186,14,591.7,534.2
569,186,14,592.9,597.6
570,186,14,581.3,549.5
571,186,14,573.2,471.5
572,186,14,571.3,474.2
573,186,14,581.7,537.0
574,186,14,577.7,503.3
575,186,14,589.4,562.7
576,186,14,587.0,554.0
577,186,14,583.2,582.0
578,186,14,582.3,606.3
579,186,14,585.9,595.7
580,186,14,573.5,586.2
581,186,14,588.5,574.2
582,186,14,596.2,631.3
583,186,14,578.2,581.1
584,186,14,564.6,508.5
585,186,14,569.1,605.4
586,186,14,572.7,558.4
587,186,14,582.9,552.7
588,186,14,597.4,611.8
589,186,14,568.4,563.4
590,186,14,565.2,520.9
591,186,14,581.5,512.2
592,186,14,588.7,544.0
593,186,14,589.6,536.0
594,186,14,580.4,593.1
595,186,14,569.9,546.3
596,186,14,560.6,537.4
597,186,14,566.4,565.3
598,186,14,575.5,589.4
599,186,14,582.6,610.6
600,186,14,593.4,629.0
601,186,14,568.0,580.6
602,186,14,555.6,538.1
603,186,14,557.3,565.3
604,186,14,572.2,588.7
605,186,14,578.9,573.7
606,186,14,589.4,624.7
607,186,14,569.7,576.1
608,186,14,579.2,565.7
609,186,14,579.9,588.6
610,186,14,585.3,608.4
611,186,14,583.1,622.3
612,186,14,575.4,637.7
613,186,14,576.1,554.5
614,186,14,582.9,574.8
615,186,14,591.7,563.7
616,186,14,597.0,511.1
617,186,14,604.2,600.8
618,186,14,583.8,582.6
619,186,14,579.2,570.2
620,186,14,573.5,520.0
621,186,14,572.4,547.5
622,186,14,579.1,603.5
623,186,14,580.0,616.5
624,186,14,583.0,567.0
625,186,14,583.7,588.1
626,186,14,593.7,606.2
627,186,14,577.9,557.4
628,186,14,595.2,547.1
629,186,14,589.3,534.8
630,186,14,578.4,552.6
631,186,14,573.5,574.9
632,186,14,579.4,561.9
633,186,14,566.6,518.3
634,186,14,591.6,541.2
635,186,14,581.7,560.7
636,186,14,581.1,613.7
637,186,14,585.4,591.4
638,186,14,571.9,571.9
639,186,14,600.7,590.6
640,186,14,585.3,574.5
641,186,14,585.7,589.3
642,186,14,576.9,605.5
643,186,14,574.2,619.3
644,186,14,570.3,534.6
645,186,14,579.1,557.7
646,186,14,562.2,577.5
647,186,14,586.4,591.3
648,186,14,563.9,570.8
649,186,14,573.1,588.6
650,186,14,588.2,603.8
651,186,14,587.4,584.7
652,186,14,598.0,564.4
653,186,14,583.7,547.1
654,186,14,577.8,596.2
655,186,14,584.1,609.9
656,186,14,590.1,589.3
657,186,14,585.8,500.0
658,186,14,598.8,558.6
659,186,14,578.3,573.7
660,186,14,601.9,557.8
661,186,14,603.1,608.2
662,186,14,598.9,555.0
663,186,14,600.5,541.2
664,186,14,584.7,625.6
665,186,14,594.9,601.9
666,186,14,603.3,577.8
667,186,14,593.4,560.5
668,185,14,580.0,545.4
669,186,14,597.9,596.6
670,186,14,606.1,576.4
671,186,14,618.0,587.5
672,186,14,596.6,568.2
673,186,14,587.5,515.8
674,186,14,596.7,570.7
675,186,14,592.1,521.1
676,186,14,614.5,574.8
677,186,14,602.7,556.9
678,186,14,584.8,573.5
679,186,14,596.1,551.8
680,186,14,590.4,504.5
681,186,14,598.1,560.2
682,186,14,597.8,479.1
683,186,14,572.8,531.1
684,186,13,587.9,627.3
685,187,13,587.6,571.2
686,187,13,580.5,519.1
687,187,13,581.3,547.4
688,187,13,569.9,563.8
689,187,13,577.0,619.9
690,187,13,575.4,599.0
691,187,13,573.7,546.2
692,187,13,591.5,535.5
693,187,13,577.7,526.2
694,187,13,578.3,621.9
695,187,13,571.2,600.1
696,187,13,581.3,546.6
697,187,13,588.1,604.6
698,187,13,581.6,550.1
699,187,13,577.2,638.0
700,187,13,581.9,536.3
701,187,13,598.3,557.1
702,187,13,590.8,536.1
703,187,13,591.6,487.3
704,187,13,575.3,584.1
705,187,13,568.1,532.1
706,187,13,594.8,453.0
707,187,13,576.3,489.3
708,187,13,587.6,520.0
709,187,13,566.5,507.5
710,187,13,566.5,492.9
711,187,13,577.0,518.8
712,187,13,585.4,463.6
713,187,13,585.5,420.4
714,187,13,561.6,418.1
715,187,13,574.5,450.7
716,187,13,585.4,451.4
717,187,13,585.0,451.9
718,187,12,578.9,527.4
719,188,12,571.8,480.4
720,188,12,572.6,556.9
721,188,12,573.3,546.9
722,188,12,595.3,500.7
723,188,12,580.7,494.8
724,188,12,560.7,456.3
725,188,12,562.9,456.9
726,188,12,576.2,457.3
727,188,12,588.3,461.7
728,188,12,573.9,423.7
729,188,11,559.1,595.2
730,189,11,554.7,503.3
731,189,11,571.3,548.0
732,189,11,587.0,581.3
733,189,11,551.0,572.9
734,189,11,553.2,561.2
735,189,11,572.6,514.9
736,189,11,572.6,598.2
737,189,11,573.9,586.8
738,189,11,572.4,536.1
739,189,11,583.3,493.2
740,189,11,553.8,452.3
741,189,11,561.9,540.3
742,189,11,576.5,619.1
743,189,11,581.7,562.8
744,189,11,581.3,474.3
745,189,11,572.9,517.6
746,189,11,580.3,640.4
747,189,11,591.6,580.3
748,189,11,567.3,570.4
749,189,11,573.1,521.1
750,188,11,573.9,602.0
751,189,11,597.7,670.2
752,189,11,578.7,645.7
753,189,11,580.1,543.1
754,189,11,567.1,447.5
755,189,11,572.6,439.5
756,189,11,576.7,564.6
757,189,11,570.5,592.5
758,189,11,557.7,538.6
759,189,11,566.0,534.0
760,189,11,587.6,652.8
761,189,11,571.6,670.8
762,189,11,565.3,604.0
763,189,11,564.9,502.2
764,189,11,578.9,462.0
765,189,11,607.2,582.7
766,189,11,581.2,652.2
767,189,11,561.3,587.7
768,189,11,561.4,533.4
769,189,11,599.8,564.9
770,189,11,584.5,632.3
771,189,11,565.9,561.4
772,189,11,561.9,551.8
773,189,11,585.3,502.7
774,189,11,595.1,584.1
775,189,11,581.2,561.4
776,189,11,564.4,592.3
777,189,11,567.9,536.2
