tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
211,195,50,0.8336,0.7997,0.8704,0.4775
212,196,50,0.8399,0.8050,0.8704,0.4775
213,195,50,0.8429,0.8001,0.8704,0.4775
214,192,50,0.8371,0.8017,0.8704,0.4775
215,192,50,0.8383,0.8097,0.8704,0.4775
216,198,50,0.8403,0.8128,0.8704,0.4775
217,194,50,0.8403,0.8208,0.8704,0.4775
218,193,50,0.8295,0.8187,0.8704,0.4775
219,194,50,0.8367,0.8148,0.8704,0.4775
220,192,50,0.8319,0.8206,0.8704,0.4775
221,195,50,0.8300,0.8288,0.8704,0.4775
222,193,50,0.8310,0.8321,0.8704,0.4775
223,198,50,0.8334,0.8322,0.8704,0.4775
224,194,50,0.8319,0.8390,0.8704,0.4775
225,197,50,0.8333,0.8307,0.8704,0.4775
226,193,50,0.8286,0.8300,0.8704,0.4775
227,195,50,0.8274,0.8320,0.8704,0.4775
228,196,50,0.8232,0.8320,0.8704,0.4775
229,195,50,0.8190,0.8385,0.8704,0.4775
230,194,50,0.8200,0.8442,0.8704,0.4775
231,194,50,0.8188,0.8513,0.8704,0.4775
232,194,50,0.8222,0.8516,0.8704,0.4775
233,193,50,0.8203,0.8591,0.8704,0.4775
234,196,50,0.8181,0.8505,0.8704,0.4775
235,191,50,0.8161,0.8428,0.8704,0.4775
236,191,50,0.8105,0.8447,0.8704,0.4775
237,192,50,0.8080,0.8403,0.8704,0.4775
238,199,50,0.8155,0.8404,0.8704,0.4775
239,197,50,0.8165,0.8439,0.8704,0.4775
240,196,50,0.8231,0.8479,0.8704,0.4775
241,192,50,0.8233,0.8520,0.8704,0.4775
242,194,50,0.8310,0.8506,0.8704,0.4775
243,193,50,0.8322,0.8517,0.8704,0.4775
244,192,50,0.8236,0.8570,0.8704,0.4775
245,195,50,0.8229,0.8521,0.8704,0.4775
246,199,50,0.8217,0.8562,0.8704,0.4775
247,193,50,0.8200,0.8535,0.8704,0.4775
248,200,50,0.8219,0.8561,0.8704,0.4775
249,194,50,0.8232,0.8586,0.8704,0.4775
250,193,50,0.8203,0.8578,0.8704,0.4775
251,197,50,0.8217,0.8538,0.8704,0.4775
252,198,50,0.8181,0.8567,0.8704,0.4775
253,191,50,0.8211,0.8503,0.8704,0.4775
254,190,50,0.8320,0.8481,0.8704,0.4775
255,198,50,0.8299,0.8450,0.8704,0.4775
256,195,50,0.8303,0.8520,0.8704,0.4775
257,197,50,0.8338,0.8466,0.8704,0.4775
258,193,50,0.8336,0.8461,0.8704,0.4775
259,194,50,0.8333,0.8451,0.8704,0.4775
260,196,50,0.8349,0.8547,0.8704,0.4775
261,194,50,0.8375,0.8510,0.8704,0.4775
262,191,50,0.8415,0.8493,0.8704,0.4775
263,195,50,0.8430,0.8475,0.8704,0.4775
264,192,50,0.8392,0.8459,0.8704,0.4775
265,195,50,0.8357,0.8434,0.8704,0.4775
266,193,50,0.8372,0.8554,0.8704,0.4775
267,195,50,0.8407,0.8539,0.8704,0.4775
268,195,50,0.8395,0.8487,0.8704,0.4775
269,195,50,0.8382,0.8504,0.8704,0.4775
270,195,50,0.8369,0.8423,0.8704,0.4775
271,197,50,0.8361,0.8421,0.8704,0.4775
272,191,50,0.8311,0.8489,0.8704,0.4775
273,194,50,0.8269,0.8427,0.8704,0.4775
274,192,50,0.8374,0.8465,0.8704,0.4775
275,197,50,0.8384,0.8408,0.8704,0.4775
276,196,50,0.8407,0.8405,0.8704,0.4775
277,194,50,0.8358,0.8366,0.8704,0.4775
278,198,50,0.8406,0.8386,0.8704,0.4775
279,197,50,0.8381,0.8395,0.8704,0.4775
280,192,50,0.8395,0.8334,0.8704,0.4775
281,194,50,0.8384,0.8311,0.8704,0.4775
282,197,50,0.8416,0.8325,0.8704,0.4775
283,195,50,0.8400,0.8281,0.8704,0.4775
284,194,50,0.8394,0.8212,0.8704,0.4775
285,198,50,0.8405,0.8240,0.8704,0.4775
286,192,50,0.8435,0.8277,0.8704,0.4775
287,192,50,0.8455,0.8281,0.8704,0.4775
288,195,50,0.8488,0.8371,0.8704,0.4775
289,197,50,0.8524,0.8482,0.8704,0.4775
290,193,50,0.8529,0.8517,0.8704,0.4775
291,191,50,0.8512,0.8492,0.8704,0.4775
292,194,50,0.8563,0.8572,0.8704,0.4775
293,193,50,0.8541,0.8550,0.8704,0.4775
294,192,50,0.8581,0.8513,0.8704,0.4775
295,198,50,0.8616,0.8536,0.8704,0.4775
296,195,50,0.8645,0.8615,0.8704,0.4775
297,198,50,0.8688,0.8685,0.8704,0.4775
298,196,50,0.8735,0.8682,0.8704,0.4775
299,190,50,0.8747,0.8725,0.8704,0.4775
300,194,50,0.8782,0.8806,0.8704,0.4775
301,199,50,0.8804,0.8818,0.8704,0.4775
302,194,50,0.8779,0.8817,0.8704,0.4775
303,195,50,0.8773,0.8783,0.8704,0.4775
304,192,50,0.8797,0.8825,0.8704,0.4775
305,196,50,0.8798,0.8800,0.8704,0.4775
306,195,50,0.8827,0.8898,0.8704,0.4775
307,194,50,0.8864,0.8939,0.8704,0.4775
308,193,50,0.8934,0.8991,0.8704,0.4775
309,193,50,0.9073,0.9039,0.8704,0.4775
310,193,50,0.9076,0.9107,0.8704,0.4775
311,198,50,0.9056,0.9041,0.8704,0.4775
312,195,50,0.9089,0.9054,0.8704,0.4775
313,194,50,0.9172,0.9098,0.8704,0.4775
314,197,50,0.9215,0.9132,0.8704,0.4775
315,193,50,0.9300,0.9189,0.8704,0.4775
316,194,50,0.9326,0.9179,0.8704,0.4775
317,199,50,0.9318,0.9234,0.8704,0.4775
318,196,50,0.9367,0.9293,0.8704,0.4775
319,196,50,0.9417,0.9258,0.8704,0.4775
320,196,50,0.9421,0.9281,0.8704,0.4775
321,195,50,0.9420,0.9294,0.8704,0.4775
322,197,50,0.9465,0.9227,0.8704,0.4775
323,191,50,0.9511,0.9226,0.8704,0.4775
324,194,50,0.9524,0.9289,0.8704,0.4775
325,193,50,0.9536,0.9305,0.8704,0.4775
326,197,50,0.9573,0.9322,0.8704,0.4775
327,192,50,0.9560,0.9262,0.8704,0.4775
328,198,50,0.9551,0.9240,0.8704,0.4775
329,196,50,0.9537,0.9257,0.8704,0.4775
330,189,50,0.9571,0.9298,0.8704,0.4775
331,191,50,0.9654,0.9418,0.8704,0.4775
332,194,50,0.9642,0.9425,0.8704,0.4775
333,195,50,0.9720,0.9471,0.8704,0.4775
334,195,50,0.9725,0.9556,0.8704,0.4775
335,195,50,0.9708,0.9536,0.8704,0.4775
336,195,50,0.9758,0.9640,0.8704,0.4775
337,196,50,0.9748,0.9608,0.8704,0.4775
338,195,50,0.9756,0.9559,0.8704,0.4775
339,196,50,0.9715,0.9435,0.8704,0.4775
340,196,50,0.9690,0.9437,0.8704,0.4775
341,195,50,0.9677,0.9435,0.8704,0.4775
342,196,50,0.9681,0.9475,0.8704,0.4775
343,197,50,0.9704,0.9489,0.8704,0.4775
344,191,50,0.9696,0.9515,0.8704,0.4775
345,193,50,0.9627,0.9523,0.8704,0.4775
346,197,50,0.9576,0.9459,0.8704,0.4775
347,194,50,0.9630,0.9531,0.8704,0.4775
348,194,50,0.9606,0.9486,0.8704,0.4775
349,194,50,0.9554,0.9549,0.8704,0.4775
350,196,50,0.9572,0.9564,0.8704,0.4775
351,196,50,0.9579,0.9566,0.8704,0.4775
352,195,50,0.9608,0.9602,0.8704,0.4775
353,195,50,0.9575,0.9566,0.8704,0.4775
354,197,50,0.9542,0.9537,0.8704,0.4775
355,195,50,0.9512,0.9475,0.8704,0.4775
356,195,50,0.9512,0.9525,0.8704,0.4775
357,191,50,0.9478,0.9494,0.8704,0.4775
358,193,50,0.9418,0.9518,0.8704,0.4775
359,196,50,0.9432,0.9584,0.8704,0.4775
360,192,50,0.9412,0.9712,0.8704,0.4775
361,196,50,0.9418,0.9789,0.8704,0.4775
362,197,50,0.9405,0.9774,0.8704,0.4775
363,197,50,0.9412,0.9765,0.8704,0.4775
364,194,50,0.9375,0.9702,0.8704,0.4775
365,192,50,0.9344,0.9631,0.8704,0.4775
366,194,50,0.9329,0.9607,0.8704,0.4775
367,197,50,0.9332,0.9619,0.8704,0.4775
368,193,50,0.9348,0.9657,0.8704,0.4775
369,196,50,0.9365,0.9729,0.8704,0.4775
370,192,50,0.9332,0.9787,0.8704,0.4775
371,195,50,0.9306,0.9867,0.8704,0.4775
372,194,50,0.9344,0.9813,0.8704,0.4775
373,194,50,0.9404,0.9912,0.8704,0.4775
374,198,50,0.9437,0.9854,0.8704,0.4775
375,191,50,0.9427,0.9901,0.8704,0.4775
376,193,50,0.9420,0.9897,0.8704,0.4775
377,196,50,0.9454,0.9993,0.8704,0.4775
378,192,50,0.9505,0.9983,0.8704,0.4775
379,196,50,0.9486,0.9921,0.8704,0.4775
380,191,50,0.9456,0.9953,0.8704,0.4775
381,195,50,0.9460,1.0011,0.8704,0.4775
382,193,50,0.9471,0.9958,0.8704,0.4775
383,198,50,0.9469,0.9995,0.8704,0.4775
384,197,50,0.9454,1.0046,0.8704,0.4775
385,194,50,0.9548,1.0073,0.8704,0.4775
386,195,50,0.9514,0.9987,0.8704,0.4775
387,195,50,0.9535,1.0087,0.8704,0.4775
388,193,50,0.9458,1.0098,0.8704,0.4775
389,196,50,0.9498,1.0110,0.8704,0.4775
390,198,50,0.9532,1.0137,0.8704,0.4775
391,197,50,0.9518,1.0127,0.8704,0.4775
392,197,50,0.9552,1.0148,0.8704,0.4775
393,192,50,0.9538,1.0075,0.8704,0.4775
394,190,50,0.9500,1.0046,0.8704,0.4775
395,197,50,0.9492,1.0011,0.8704,0.4775
396,197,50,0.9518,0.9998,0.8704,0.4775
397,196,50,0.9522,1.0027,0.8704,0.4775
398,198,50,0.9523,0.9966,0.8704,0.4775
399,196,50,0.9557,1.0051,0.8704,0.4775
400,191,50,0.9502,1.0132,0.8704,0.4775
401,196,50,0.9488,1.0149,0.8704,0.4775
402,189,50,0.9547,1.0190,0.8704,0.4775
403,195,50,0.9555,1.0157,0.8704,0.4775
404,197,50,0.9565,1.0120,0.8704,0.4775
405,199,50,0.9582,1.0152,0.8704,0.4775
406,196,50,0.9599,1.0180,0.8704,0.4775
407,192,50,0.9676,1.0190,0.8704,0.4775
408,199,50,0.9705,1.0219,0.8704,0.4775
409,193,50,0.9736,1.0267,0.8704,0.4775
410,191,50,0.9770,1.0284,0.8704,0.4775
411,191,50,0.9772,1.0196,0.8704,0.4775
412,197,50,0.9849,1.0274,0.8704,0.4775
413,194,50,0.9878,1.0314,0.8704,0.4775
414,193,50,0.9898,1.0305,0.8704,0.4775
415,198,50,0.9895,1.0352,0.8704,0.4775
416,195,50,0.9981,1.0469,0.8704,0.4775
417,196,50,1.0018,1.0449,0.8704,0.4775
418,195,50,1.0031,1.0396,0.8704,0.4775
419,196,50,1.0031,1.0417,0.8704,0.4775
420,193,50,1.0058,1.0435,0.8704,0.4775
421,196,50,1.0028,1.0337,0.8704,0.4775
422,194,50,1.0015,1.0407,0.8704,0.4775
423,195,50,0.9987,1.0487,0.8704,0.4775
424,196,50,0.9992,1.0525,0.8704,0.4775
425,192,50,0.9998,1.0554,0.8704,0.4775
426,194,50,1.0090,1.0594,0.8704,0.4775
427,198,50,1.0088,1.0587,0.8704,0.4775
428,194,50,1.0143,1.0645,0.8704,0.4775
429,195,50,1.0190,1.0486,0.8704,0.4775
430,194,50,1.0235,1.0601,0.8704,0.4775
431,195,50,1.0284,1.0543,0.8704,0.4775
432,195,50,1.0290,1.0614,0.8704,0.4775
433,195,50,1.0357,1.0581,0.8704,0.4775
434,192,50,1.0389,1.0646,0.8704,0.4775
435,195,50,1.0350,1.0682,0.8704,0.4775
436,193,50,1.0417,1.0673,0.8704,0.4775
437,195,50,1.0454,1.0737,0.8704,0.4775
438,194,50,1.0522,1.0715,0.8704,0.4775
439,197,50,1.0523,1.0662,0.8704,0.4775
440,196,50,1.0553,1.0709,0.8704,0.4775
441,194,50,1.0562,1.0717,0.8704,0.4775
442,191,50,1.0634,1.0666,0.8704,0.4775
443,194,50,1.0681,1.0745,0.8704,0.4775
444,193,50,1.0678,1.0810,0.8704,0.4775
445,196,50,1.0647,1.0820,0.8704,0.4775
446,191,50,1.0691,1.0835,0.8704,0.4775
447,197,50,1.0709,1.0831,0.8704,0.4775
448,193,50,1.0768,1.0778,0.8704,0.4775
449,195,50,1.0793,1.0779,0.8704,0.4775
450,195,50,1.0859,1.0791,0.8704,0.4775
451,195,50,1.0883,1.0787,0.8704,0.4775
452,199,50,1.0850,1.0753,0.8704,0.4775
453,195,50,1.0797,1.0755,0.8704,0.4775
454,195,50,1.0785,1.0807,0.8704,0.4775
455,198,50,1.0826,1.0812,0.8704,0.4775
456,195,50,1.0849,1.0775,0.8704,0.4775
457,194,50,1.0914,1.0891,0.8704,0.4775
458,195,50,1.0888,1.0961,0.8704,0.4775
459,196,50,1.0904,1.0995,0.8704,0.4775
460,193,50,1.0960,1.1019,0.8704,0.4775
461,193,50,1.0929,1.1058,0.8704,0.4775
462,196,50,1.0914,1.1108,0.8704,0.4775
463,196,50,1.0951,1.1126,0.8704,0.4775
464,197,50,1.0922,1.1169,0.8704,0.4775
465,196,50,1.0935,1.1152,0.8704,0.4775
466,196,50,1.0965,1.1216,0.8704,0.4775
467,194,50,1.0978,1.1330,0.8704,0.4775
468,198,50,1.1007,1.1336,0.8704,0.4775
469,188,50,1.0989,1.1378,0.8704,0.4775
470,195,50,1.1000,1.1426,0.8704,0.4775
471,196,50,1.1044,1.1483,0.8704,0.4775
472,196,50,1.1035,1.1495,0.8704,0.4775
473,197,50,1.1027,1.1516,0.8704,0.4775
474,196,50,1.1010,1.1579,0.8704,0.4775
475,195,50,1.0991,1.1686,0.8704,0.4775
476,195,50,1.1013,1.1781,0.8704,0.4775
477,196,50,1.1012,1.1825,0.8704,0.4775
478,194,50,1.1001,1.1939,0.8704,0.4775
479,194,50,1.1043,1.2030,0.8704,0.4775
480,193,50,1.1132,1.2100,0.8704,0.4775
481,195,50,1.1112,1.2201,0.8704,0.4775
482,196,50,1.1176,1.2301,0.8704,0.4775
483,195,50,1.1148,1.2399,0.8704,0.4775
484,194,50,1.1197,1.2442,0.8704,0.4775
485,194,50,1.1144,1.2571,0.8704,0.4775
486,196,50,1.1156,1.2587,0.8704,0.4775
487,195,50,1.1187,1.2578,0.8704,0.4775
488,194,50,1.1146,1.2614,0.8704,0.4775
489,191,50,1.1292,1.2657,0.8704,0.4775
490,192,50,1.1345,1.2786,0.8704,0.4775
491,195,50,1.1263,1.2792,0.8704,0.4775
492,195,50,1.1263,1.2821,0.8704,0.4775
493,196,50,1.1264,1.2842,0.8704,0.4775
494,196,50,1.1310,1.2817,0.8704,0.4775
495,193,50,1.1315,1.2826,0.8704,0.4775
496,197,50,1.1298,1.2841,0.8704,0.4775
497,194,50,1.1275,1.2857,0.8704,0.4775
498,197,50,1.1193,1.2853,0.8704,0.4775
499,192,50,1.1183,1.2842,0.8704,0.4775
500,193,50,1.1164,1.2876,0.8704,0.4775
501,197,50,1.1187,1.2912,0.8704,0.4775
502,197,50,1.1195,1.2962,0.8704,0.4775
503,196,50,1.1223,1.2908,0.8704,0.4775
504,193,50,1.1204,1.2974,0.8704,0.4775
505,195,50,1.1171,1.3053,0.8704,0.4775
506,196,50,1.1185,1.3049,0.8704,0.4775
507,195,50,1.1167,1.3003,0.8704,0.4775
508,196,50,1.1209,1.2934,0.8704,0.4775
509,192,50,1.1255,1.2865,0.8704,0.4775
510,192,50,1.1313,1.2895,0.8704,0.4775
511,195,50,1.1322,1.2908,0.8704,0.4775
512,196,50,1.1306,1.2845,0.8704,0.4775
513,197,50,1.1296,1.2855,0.8704,0.4775
514,197,50,1.1281,1.2880,0.8704,0.4775
515,196,50,1.1300,1.2888,0.8704,0.4775
516,193,50,1.1361,1.2853,0.8704,0.4775
517,190,50,1.1411,1.2850,0.8704,0.4775
518,197,50,1.1462,1.2974,0.8704,0.4775
519,192,50,1.1489,1.2897,0.8704,0.4775
520,194,50,1.1595,1.2851,0.8704,0.4775
521,196,50,1.1602,1.2867,0.8704,0.4775
522,195,50,1.1627,1.2931,0.8704,0.4775
523,196,50,1.1661,1.2980,0.8704,0.4775
524,190,50,1.1697,1.3029,0.8704,0.4775
525,196,50,1.1693,1.3006,0.8704,0.4775
526,195,50,1.1701,1.2962,0.8704,0.4775
527,197,50,1.1711,1.2981,0.8704,0.4775
528,195,50,1.1706,1.2979,0.8704,0.4775
529,194,50,1.1781,1.2860,0.8704,0.4775
530,196,50,1.1863,1.2864,0.8704,0.4775
531,194,50,1.1885,1.2920,0.8704,0.4775
532,196,50,1.1970,1.2880,0.8704,0.4775
