tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
111,19,20,362.83527695866314,374.1018464760746
112,19,20,364.15838338990915,374.8173894549916
113,19,20,363.64645715750663,376.00872058192147
114,19,20,363.8968779415911,377.35217206837933
115,19,21,363.00306307636635,377.3322392728165
116,19,21,362.0873271713432,378.2866824881152
117,19,21,360.9883978170382,378.921553712277
118,19,21,362.3348356699443,379.44048803898716
119,19,21,364.1787023626078,378.6473603690346
120,19,21,363.77407126106107,378.2903739937446
121,19,22,365.1536135421029,379.5123599342647
122,19,22,365.4461527873846,379.6740513185439
123,19,21,364.3485348702538,379.7133248819601
124,19,22,362.7395995924379,379.29868986914516
125,19,22,362.6408647396189,381.0093102556387
126,19,22,363.5527737853692,379.9271528619813
127,19,22,365.68929460159353,380.64090247546835
128,19,22,364.7760475615168,381.16765893921195
129,19,22,364.3049678648888,380.6120224456123
130,19,22,364.6388912221044,381.34782021165904
131,19,22,365.0478776067509,381.82593716279223
132,19,22,365.1567892251905,382.41505878890456
133,19,22,364.7905626466481,383.209526933272
134,19,22,363.57690514851606,383.3843087773312
135,19,22,365.52991884749537,383.93264986953983
136,19,22,363.9843366156807,383.76187738430286
137,19,22,363.5624124807752,383.32709507637014
138,19,22,363.83047529252485,383.58367504830227
139,19,22,363.0040160120736,383.8999937110844
140,19,22,364.1002459141573,384.07066976809017
141,19,22,363.0706257749777,384.8580976411427
142,19,22,363.2962830996126,383.75854786782776
143,19,22,362.72315547503507,383.7767539307256
144,19,22,364.3829482522321,383.47162555667205
145,19,22,366.3856521150061,384.4920781310643
146,19,22,364.5550265312077,384.3650163863216
147,19,22,362.9591055789242,385.2148306833441
148,19,22,365.13849818990946,384.89914453229574
149,19,22,363.97351886423417,385.7394459138981
150,19,22,365.03683518282776,384.4458295946779
151,19,22,365.36596389215777,384.90279854465064
152,19,22,364.5458546010473,384.3005311090369
153,19,22,363.0574860309025,384.2969422849304
154,19,22,363.3398327111254,385.30368462733134
155,19,22,362.7631640059982,384.1363994271318
156,19,22,363.8870341763496,384.73851323512577
157,19,22,364.9229182712648,385.1625354517255
158,19,22,366.098832761948,386.11022275267527
159,19,22,364.77951611419064,385.1329636052958
160,19,22,363.28097804033706,384.0422188991751
161,19,22,364.51345399464253,384.65134191337205
162,19,22,367.9877109613568,383.5991772899256
163,19,22,366.7443179173688,382.46861586499523
164,19,22,366.70556549304655,384.52283718428663
165,19,22,366.1580106080691,385.0086387768574
166,19,22,365.0674894282259,385.08782242139694
167,19,22,365.20575124981065,383.9596211107844
168,19,22,366.4952801527154,383.8163931319172
169,19,22,365.68826972772945,383.8392092197603
170,19,22,365.4362726587668,383.0922002477498
171,19,22,363.87839168251276,385.85731706089217
172,19,22,363.053097718024,384.89799846952224
173,19,22,363.22126866937793,384.03599459749813
174,19,22,364.700737604629,384.75016341206805
175,19,22,363.47197017692395,383.90045082757445
176,19,22,364.30008176087506,384.39171147475554
177,19,22,362.4911137859654,382.9633013335238
178,19,22,366.31106145035164,382.64798866070134
179,19,22,365.8771839738578,383.2080890883574
180,19,22,365.2958358689233,384.1963859345195
181,19,22,364.9032270371471,384.5472185911911
182,19,22,365.1130524866184,384.0618608900348
183,19,22,363.9577382096746,384.3375471909652
184,19,22,365.38069242127904,384.2313179397498
185,19,22,366.9647731799808,382.9189241746741
186,19,22,366.94218149903844,383.93154702416723
187,19,22,365.9653273388005,384.17411675110776
188,19,22,364.9604447484866,384.8727421331946
189,19,22,364.04215036658996,384.1386125273818
190,19,22,365.3043911469989,384.5472555140868
191,19,22,364.6633029968167,384.21414527198635
192,19,22,365.502869277173,384.7648633963376
193,19,22,366.52553700181477,384.9344899307693
194,19,22,366.64556179662895,383.7296082567155
195,19,22,365.7932776028533,384.0370686404003
196,19,22,365.0320282353213,384.43059012912147
197,19,22,364.03834554567527,382.5495085715835
198,19,22,366.2078987746579,383.95666673884284
199,19,22,364.59754452228657,384.53523463761485
200,19,22,364.33988443993064,384.858282461112
201,19,22,363.5277081203393,383.50923213960436
202,19,22,364.13409559174113,383.1512765702625
203,19,22,364.3212124100458,384.5247816472656
204,19,22,364.89528369480644,385.3571572443079
205,19,22,364.46643585211405,385.08173037335644
206,19,22,364.02776004234244,384.140553794951
207,19,22,363.3354940812092,382.69594684925363
208,19,22,363.0339466090758,382.32615247595044
209,19,22,364.10066039311977,383.4959933121373
210,19,22,364.1723837254403,383.86931827554207
211,19,22,365.2442288137561,384.98381563207647
212,19,22,364.75672748862047,384.1593528433849
213,19,22,363.8465250637024,383.14845974630873
214,19,22,363.7476586644921,382.6689699857051
215,19,22,363.4264662507474,384.2361229734185
216,19,22,365.8820800201799,383.8922938654515
217,19,22,366.30407964586385,384.3932976427378
218,19,22,364.80826635090335,385.29484618089094
219,19,22,363.3850479528185,383.87657468390256
220,19,22,366.297840492827,384.9741383969306
221,19,22,365.8449053073114,384.08378398717633
