tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
541,7,24,16,540.3283065845998,319.34217051796674
542,6,24,15,533.3603491260355,318.9245125771525
543,6,24,15,526.9572571193396,318.11604375244985
544,7,24,15,518.613163546694,319.48855910095443
545,7,25,15,547.8494814488478,320.0258481934112
546,7,25,14,540.7561664962391,317.75179435242103
547,7,25,15,534.229495419583,316.75831521560116
548,7,25,15,545.7635415345972,320.31081375994523
549,6,25,15,556.6602592333601,318.1466034338759
550,6,25,14,567.9261977666059,316.4894913692844
551,7,25,14,560.5568524520307,317.5670175465449
552,6,25,15,553.7575061857731,318.06039853763315
553,7,25,14,546.5221495521712,316.03114983465866
554,6,25,13,539.3558855199459,316.5131408788379
555,7,25,13,551.2582365754873,317.27711581159883
556,7,25,11,544.5174463695806,315.4143777368192
557,6,25,13,537.8407234018363,316.5874978591294
558,6,25,13,548.7276223134846,316.42231755424183
559,6,25,12,542.4820488808326,317.3299795789842
560,7,25,14,553.7954513181801,317.36991789575285
561,7,25,15,546.4710677392029,317.1096024789853
562,7,25,13,539.717934322627,316.38250298106396
563,7,25,12,550.5299117669671,314.10781976100753
564,6,25,15,561.2091357470484,316.51117751026345
565,6,25,14,554.2566738979195,317.2319366581915
566,5,25,13,547.371689734208,314.9774136178258
567,6,25,14,541.0536961574347,314.89749418439965
568,6,25,13,534.2965275538991,314.93574101461013
569,6,25,14,527.1054344551485,315.77087325427647
570,6,25,13,519.9856338871726,315.10693954543706
571,7,25,11,512.9365993329939,314.87760038324114
