tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
44,10,25,5,593.9764003311482,264.81876274034204
45,10,25,5,592.2716253156298,267.1333773563684
46,10,25,6,590.5685550751269,271.32850734234955
47,10,25,7,588.8671879048646,275.2650521913344
48,10,25,7,587.6675221017725,278.01333773132035
49,10,25,8,586.9690559644836,281.54301764069044
50,10,25,8,585.7712882933318,283.9706626937094
51,10,25,7,584.5630029640854,287.72893881652755
52,10,25,9,583.3442588258156,293.2716346205286
53,10,25,9,581.615115296273,296.1774274528511
54,10,25,9,579.8761723565658,298.93559360569867
55,10,25,10,578.1275099517864,302.2680069596327
56,10,25,10,576.3692085254531,304.39672365181826
57,10,25,10,574.601349012547,306.6514401648054
58,10,25,10,572.8240128325052,307.2429390595587
59,10,25,10,571.0372818821756,309.206560005014
60,10,25,11,569.2412385287298,311.4218096747258
61,10,25,12,567.4359656025375,313.4999529082536
62,10,25,13,565.6215463900031,314.89382160133687
63,10,25,13,563.7980646263645,315.5517033205981
64,10,25,13,561.9656044884556,317.00906569718114
65,10,25,14,560.1242505874334,317.4622495418462
66,10,25,13,558.2740879614707,319.4182776191265
67,10,25,14,556.4152020684152,321.8638353565169
68,10,25,15,554.5476787784148,322.6980280965925
69,10,25,15,552.6716043665134,322.955082717531
70,10,25,15,550.7870655052131,323.793082464358
71,10,25,16,548.8941492570085,324.4769916504841
72,10,25,16,546.9929430668911,324.30810088951205
73,10,25,16,545.0835347548264,324.91144308896264
74,10,25,16,543.1660125082019,326.2650229302003
75,10,25,16,541.2404648742524,325.8772050068873
76,10,25,16,539.3069807524563,327.6338256389867
77,10,25,16,537.3656493869104,328.64796402030237
78,10,25,16,535.4165603586796,329.09699324707253
79,10,25,16,533.4598035781256,329.75341708986394
80,10,25,15,531.4954692772134,329.88463969619426
81,10,25,18,529.5236480017971,330.67242653390485
82,10,25,17,527.544430603887,330.22154172818455
83,10,25,17,525.5579082338973,330.0927612215
84,10,25,17,523.5641723328771,331.1900688898414
85,10,25,18,521.5633146247241,331.77018235151775
86,10,25,17,519.5554271083822,332.2267258517703
87,10,25,18,517.5406020500265,331.9133493981569
88,10,25,18,515.5189319752312,331.7909565844457
89,10,25,19,513.990509661128,332.6565730238686
90,10,25,18,511.95452812855086,332.0911500868497
91,10,25,19,509.91197227216963,332.6386329257772
92,10,25,17,507.86293562800165,333.29774129838535
93,10,25,18,505.80751195254635,334.00343160426075
94,10,25,18,503.74579521488835,333.58378781532065
95,10,25,20,501.67787958879285,333.72724887129624
96,10,25,19,499.60385944479515,333.5533693038179
97,10,25,19,497.523829342285,334.4165208891064
98,10,25,20,495.43788402158697,335.2240590220421
99,10,25,20,493.346118396037,334.2943774649142
100,10,25,20,491.2486275440577,333.27599211887036
101,10,25,20,489.1455067012315,332.68347936783346
102,10,25,20,487.03685125237376,333.9282329651376
103,10,25,18,484.92275672360665,333.9086383630925
104,10,25,20,482.80331877443433,334.37730980438374
105,10,25,19,480.6786331898208,335.20684132617777
106,10,25,20,478.54879587227117,335.4465788690211
107,10,25,20,476.4139028339173,334.80851691211075
108,10,25,20,474.27405018860884,335.24748991185345
109,10,25,20,472.12933414401044,334.90584246848186
110,10,25,19,469.9798509937064,334.69621051885883
111,10,25,20,467.8256971093132,334.57789982136256
112,10,25,19,465.6669689326011,334.43192674550704
113,10,25,19,463.5037629676262,333.92340715903157
114,10,25,18,461.33617577287276,335.0209783372183
115,10,25,18,459.66430395340797,335.23521823907333
116,10,25,20,457.48708415304884,335.1813166105846
117,10,25,19,455.3057657609435,335.72505866483436
118,10,25,18,453.12044553856043,336.1651953966444
119,10,25,20,450.9312202629914,335.698523139461
120,10,25,20,448.73818671917303,335.8400612492708
121,10,25,20,464.54144169212543,334.7248995504662
122,10,25,18,462.2971619592094,335.2257934914076
123,10,25,19,460.04911232560255,335.5537962391788
124,10,25,20,457.79739191184785,334.9792969885679
125,10,25,19,455.542099816881,335.71412935453344
126,10,25,20,453.28333511015524,336.78038655629763
127,10,25,18,451.0211968237882,337.51951655597765
128,10,25,17,448.7557839447321,336.27001447644
129,10,25,18,446.4871954069675,335.6670478658385
130,10,25,18,444.2155300837222,336.1727609076389
131,10,25,19,441.9408867797156,335.9568131213549
132,10,25,20,439.66336422342994,336.9871718839961
133,10,25,20,437.38306105940836,336.3624422352205
134,10,25,20,435.10007584058195,336.26960222476936
135,10,25,20,432.8145070206252,335.5052416736904
136,10,25,17,430.52645294634186,336.22716915096805
137,10,25,19,428.23601185008164,337.66287782245536
138,10,25,19,425.9432818421882,337.1121861825989
139,10,25,19,441.6483609034797,336.045097545143
140,10,25,21,439.3009468777627,337.7475523407429
141,10,25,20,436.95131959238023,337.624129736527
142,10,25,21,434.59957922955067,337.0551235762139
143,10,25,21,432.24582581776696,336.5414487793873
144,10,25,21,429.89015922422453,335.90053154170215
145,10,25,21,427.53267914728707,336.26128566225907
146,10,25,20,443.1734851089898,335.223227868123
147,10,25,20,440.75975644758216,337.8934399920372
148,10,25,18,438.3443089533101,336.6640095013117
149,10,25,20,436.427244297442,337.50099109670003
150,10,24,20,434.00716394936245,336.9125313253277
151,10,24,20,467.58566369904815,335.9971853572563
152,10,24,20,463.05340466621584,336.1032106611686
153,10,25,20,478.52566263275,336.6326216906629
154,10,25,18,475.9410049766539,335.73448280504897
155,10,25,20,473.35478924603905,336.30222065274916
156,10,25,21,470.76712368840424,336.3830380920356
157,10,24,20,486.1781163048354,338.08884052448514
158,10,24,21,481.5309948421249,337.9946534305452
159,10,24,19,478.8889276633397,337.5676091268159
160,10,24,21,474.2456844796298,337.57890579089786
161,10,25,18,489.6078147604182,336.6609454929428
162,10,24,19,505.4106868254072,336.3046204488993
163,10,24,19,518.6522493711692,336.212004974884
164,10,23,18,511.8402713780445,337.2104774934885
165,10,24,18,527.0403998673097,337.3177455912682
166,10,23,20,542.1798271245631,337.88086101878605
167,10,24,20,555.2581478867799,338.7171568218727
168,10,25,21,588.2816818946931,337.40693004261675
169,10,25,19,603.1824911947017,336.7814631556064
170,10,25,21,600.0208721094525,336.6370619821443
171,10,25,20,596.858002111651,336.4233933483877
172,10,25,20,629.6940119691997,336.1581029111012
173,10,25,21,626.4044720725991,337.4512568440325
174,10,24,19,639.1137858945992,338.0769495424877
175,10,24,21,635.7660890287809,338.2318932746815
176,10,24,21,632.4173937802124,338.19451737777507
177,10,25,21,647.0678375910431,337.2786720402763
178,10,25,21,661.6534774740319,336.8876857791197
179,10,24,20,676.6739594094876,337.0159454966344
180,10,25,21,691.1271345404263,337.71144984902605
181,10,25,20,687.5144556982027,338.6738525720349
182,10,25,20,683.901104464274,337.8976415547423
183,10,25,21,680.2872278067475,337.36743013548386
184,10,25,20,676.6729721932315,336.5559344838702
185,10,25,18,673.0584835809293,337.14832956580716
186,10,25,15,669.443907406821,336.1641536268187
187,10,25,20,665.8293885779324,337.3476672709014
188,10,25,21,662.2150714616921,338.3297960070908
189,10,25,20,658.6010998763797,337.2644981064347
190,10,25,19,654.9876170816623,337.603637613107
191,10,25,20,651.3747657692231,337.560721298695
192,10,25,19,647.7626880534821,337.35024717395004
193,10,25,19,644.1515254624084,336.0676295410305
194,10,24,19,640.541418928427,337.95922920692016
195,10,25,20,655.432508779419,338.31304643429286
196,10,25,20,651.7524147298165,337.69653695527865
197,10,25,20,648.5737116005937,337.48486495698876
198,10,25,21,644.8945610874681,338.07336364388885
199,10,25,18,641.2170821191528,337.82568067266766
200,10,25,21,637.541415175489,337.5102734663765
201,10,25,21,633.8677000712962,336.9617058517936
202,10,25,18,630.196075947821,337.0549529158287
203,10,25,19,626.5266812642857,337.1825359836855
204,10,25,20,622.8596537895402,338.39928468856215
205,10,25,21,619.1951305938159,337.09546787223246
206,10,25,19,615.5332480405821,337.35218833789855
207,10,25,21,611.8741417785069,336.826009362583
208,10,25,19,608.2179467335211,337.1205153794454
209,10,25,19,604.5647971009878,337.88902476495844
210,10,25,20,600.9148263379764,337.6423071829088
211,10,25,20,597.2681671556429,338.15419327382557
212,10,25,21,593.6249515117157,336.20147355608486
213,10,25,20,590.4853106030886,336.37897607906774
214,10,25,18,586.8472348585202,336.1775435486491
215,10,25,18,583.2129931334414,336.15230478956835
216,10,25,20,579.5827143879177,337.28847216028294
217,10,25,19,575.9565267922869,337.4114556312477
218,10,25,21,572.3345577202853,337.13634226370084
219,10,24,21,567.2169337422832,337.68030463901846
220,10,24,19,563.61038061863,336.80764282072727
221,10,25,19,578.0084241211084,337.67665332995733
222,10,25,19,574.3312681028235,338.4979213954886
