tick,prey_count,clan_a_count,clan_b_count,clan_c_count,clan_d_count,avg_altruism
151,247,5,5,5,5,0.4991057341366756
152,250,5,5,5,5,0.4991057341366756
153,250,5,5,5,5,0.4991057341366756
154,248,5,5,5,5,0.4991057341366756
155,248,5,5,5,5,0.4991057341366756
156,250,5,5,5,5,0.4991057341366756
157,249,5,5,5,5,0.4991057341366756
158,248,5,5,5,5,0.4991057341366756
159,250,5,5,5,5,0.4991057341366756
160,249,5,5,5,5,0.4991057341366756
161,249,5,5,5,5,0.4991057341366756
162,247,5,5,5,5,0.4991057341366756
163,250,5,5,5,5,0.4991057341366756
164,249,5,5,5,5,0.4991057341366756
165,249,5,5,5,5,0.4991057341366756
166,249,5,5,5,5,0.4991057341366756
167,249,5,5,5,5,0.4991057341366756
168,249,5,5,5,5,0.4991057341366756
169,250,5,5,5,5,0.4991057341366756
170,250,5,5,5,5,0.4991057341366756
171,250,5,5,5,5,0.4991057341366756
172,250,5,5,5,5,0.4991057341366756
173,249,5,5,5,5,0.4991057341366756
174,249,5,5,5,5,0.4991057341366756
175,250,5,5,5,5,0.4991057341366756
176,250,5,5,5,5,0.4991057341366756
177,248,5,5,5,5,0.4991057341366756
178,249,5,5,5,5,0.4991057341366756
179,250,5,5,5,5,0.4991057341366756
180,250,5,5,5,5,0.4991057341366756
181,250,5,5,5,5,0.4991057341366756
182,250,5,5,5,5,0.4991057341366756
183,250,5,5,5,5,0.4991057341366756
184,249,5,5,5,5,0.4991057341366756
185,250,5,5,5,5,0.4991057341366756
186,250,5,5,5,5,0.4991057341366756
187,250,5,5,5,5,0.4991057341366756
188,250,5,5,5,5,0.4991057341366756
189,249,5,5,5,5,0.4991057341366756
190,250,5,5,5,5,0.4991057341366756
191,250,5,5,5,5,0.4991057341366756
192,249,5,5,5,5,0.4991057341366756
193,250,5,5,5,5,0.4991057341366756
194,250,5,5,5,5,0.4991057341366756
195,250,5,5,5,5,0.4991057341366756
196,250,5,5,5,5,0.4991057341366756
197,250,5,5,5,5,0.4991057341366756
198,250,5,5,5,5,0.4991057341366756
199,250,5,5,5,5,0.4991057341366756
200,250,5,5,5,5,0.4991057341366756
201,250,5,5,5,5,0.4991057341366756
202,250,5,5,5,5,0.4991057341366756
203,250,5,5,5,5,0.4991057341366756
204,250,5,5,5,5,0.4991057341366756
205,250,5,5,5,5,0.4991057341366756
206,250,5,5,5,5,0.4991057341366756
207,250,5,5,5,5,0.4991057341366756
208,250,5,5,5,5,0.4991057341366756
209,250,5,5,5,5,0.4991057341366756
210,249,5,5,5,5,0.4991057341366756
211,250,5,5,5,5,0.4991057341366756
212,249,5,5,5,5,0.4991057341366756
213,249,5,5,5,5,0.4991057341366756
214,250,5,5,5,5,0.4991057341366756
215,249,5,5,5,5,0.4991057341366756
216,250,5,5,5,5,0.4991057341366756
217,249,5,5,5,5,0.4991057341366756
218,248,5,5,5,5,0.4991057341366756
219,249,5,5,5,5,0.4991057341366756
220,249,5,5,5,5,0.4991057341366756
221,250,5,5,5,5,0.4991057341366756
222,249,5,5,5,5,0.4991057341366756
223,248,5,5,5,5,0.4991057341366756
224,249,5,5,5,5,0.4991057341366756
225,246,5,5,5,5,0.4991057341366756
226,246,5,5,5,5,0.4991057341366756
227,246,5,5,5,5,0.4991057341366756
228,245,5,5,5,5,0.4991057341366756
229,248,5,5,5,5,0.4991057341366756
230,247,5,5,5,5,0.4991057341366756
231,247,5,5,5,5,0.4991057341366756
232,246,5,5,5,5,0.4991057341366756
233,244,5,5,5,5,0.4991057341366756
234,247,5,5,5,5,0.4991057341366756
235,245,5,5,5,5,0.4991057341366756
236,246,5,5,5,5,0.4991057341366756
237,243,5,5,5,5,0.4991057341366756
238,244,5,5,5,5,0.4991057341366756
