tick,pop_patron,pop_client,avg_nrg_patron,avg_nrg_client,donations
610,61,139,411.1,27.1,5
611,61,139,413.0,26.2,4
612,61,138,412.4,26.4,7
613,62,138,412.6,26.6,7
614,62,138,410.6,27.3,9
615,62,137,412.6,26.5,4
616,63,137,416.2,25.3,3
617,63,137,412.8,26.8,11
618,63,137,411.8,27.3,8
619,63,137,412.3,27.0,6
620,63,137,412.1,27.0,7
621,63,137,411.0,27.4,8
622,63,137,411.4,27.1,6
623,63,137,411.8,26.8,6
624,63,137,412.2,26.6,6
625,63,136,412.5,26.5,6
626,64,136,411.5,27.3,9
627,64,136,409.7,28.0,9
628,64,136,411.1,27.3,5
629,64,135,412.4,26.9,5
630,65,135,411.5,27.6,9
631,65,135,409.9,28.4,9
632,65,135,412.9,27.0,3
633,65,135,414.2,26.3,5
634,65,135,412.5,27.1,9
635,65,135,412.3,27.2,7
636,65,133,412.1,27.6,7
637,67,132,414.3,27.5,6
638,68,132,413.9,28.3,9
639,68,132,411.5,29.7,11
640,68,132,412.7,29.3,6
641,68,132,412.4,29.6,8
642,68,132,412.1,29.9,8
643,68,132,412.5,29.8,7
644,68,132,413.6,29.3,6
645,68,132,413.1,29.6,8
646,68,132,412.7,29.9,8
647,68,131,413.6,29.7,6
648,69,131,414.0,29.9,8
649,69,131,414.3,29.8,7
650,69,131,414.0,30.1,8
651,69,131,414.3,30.0,7
652,69,131,415.3,29.5,6
653,69,131,416.9,28.7,5
654,69,131,412.8,30.8,13
655,69,131,415.1,29.6,4
656,69,131,415.3,29.5,7
657,69,130,416.0,29.2,6
658,70,130,416.8,29.2,7
659,70,130,414.3,30.5,11
660,70,130,415.9,29.7,5
661,70,130,416.1,29.6,7
662,70,130,416.3,29.5,7
663,70,130,415.0,30.1,9
664,70,130,415.1,29.9,7
665,70,130,415.9,29.5,6
666,70,130,414.5,30.1,9
667,70,130,413.2,30.6,9
668,70,130,415.3,29.4,4
669,70,130,413.9,30.0,9
670,70,130,413.1,30.2,8
671,70,130,413.0,30.0,7
672,70,130,414.4,29.1,5
673,70,129,412.8,30.0,9
674,71,129,412.8,30.2,8
675,71,129,412.8,30.0,7
676,71,129,411.5,30.6,9
677,71,129,412.2,30.0,6
678,71,129,414.3,28.8,4
679,71,129,412.2,29.8,10
680,71,129,410.0,30.7,10
681,71,129,412.1,29.4,4
682,71,129,411.3,29.6,8
683,71,129,411.2,29.5,7
684,71,129,410.3,29.7,8
685,71,129,410.1,29.5,7
686,71,129,408.6,30.1,9
687,71,128,409.8,29.4,5
688,72,128,408.3,30.4,10
689,72,128,408.3,30.2,7
690,72,128,408.9,29.6,6
691,72,128,408.2,29.8,8
692,72,128,407.4,30.0,8
693,72,128,407.3,29.8,7
694,72,128,407.9,29.3,6
695,72,128,406.4,29.9,9
696,72,128,405.6,30.0,8
697,72,128,405.4,29.8,7
698,72,128,405.9,29.3,6
699,72,128,407.7,28.0,4
700,72,128,405.4,29.0,10
701,72,128,403.1,30.0,10
702,72,128,404.2,29.0,5
703,72,128,405.9,27.8,4
704,72,127,402.2,29.8,12
705,73,127,402.7,29.6,7
706,73,127,404.7,28.3,4
707,73,127,403.2,28.9,9
708,73,126,401.7,29.8,9
709,74,126,403.1,29.2,6
710,74,126,401.1,30.2,10
711,74,125,399.8,30.9,9
712,74,125,400.8,29.9,5
713,74,125,402.1,29.0,5
714,74,125,400.7,29.6,9
715,74,125,398.7,30.5,10
716,74,125,400.6,29.2,4
717,74,125,399.2,29.8,9
718,74,125,397.8,30.3,9
719,74,124,398.4,30.0,6
720,75,124,399.8,29.4,6
721,75,124,397.3,30.7,11
722,75,124,400.0,29.0,3
723,75,124,397.4,30.3,11
724,75,124,395.4,31.2,10
725,75,124,396.8,30.2,5
726,75,124,397.4,29.6,6
727,75,124,395.4,30.5,10
728,75,124,395.4,30.2,7
729,75,124,393.4,31.1,10
730,75,123,394.6,30.3,5
731,76,123,396.7,29.3,5
732,76,123,394.8,30.3,10
733,76,123,394.3,30.4,8
734,76,123,395.0,29.8,6
735,76,122,392.5,31.4,11
736,77,122,393.6,31.0,7
737,77,122,395.1,30.0,5
738,77,121,394.7,30.4,8
739,77,120,391.6,32.4,12
740,78,120,392.8,32.0,7
741,78,120,394.5,30.9,5
742,78,120,393.0,31.8,10
743,78,120,391.4,32.7,10
744,78,120,393.1,31.5,5
745,78,119,392.1,32.2,9
746,79,119,392.7,32.3,8
747,79,119,391.9,32.7,9
748,79,119,391.8,32.7,8
749,79,119,389.8,33.9,11
750,79,119,391.5,32.6,5
751,79,119,390.1,33.4,10
752,79,119,388.0,34.5,11
753,79,119,389.1,33.6,6
754,79,119,389.5,33.1,7
755,79,119,388.6,33.5,9
756,79,119,389.6,32.6,6
757,79,119,390.5,31.8,6
758,79,119,388.3,33.0,11
759,79,119,387.9,33.0,8
760,79,119,387.0,33.3,9
761,79,119,386.0,33.6,9
762,79,119,386.9,32.7,6
763,79,119,387.1,32.3,7
764,79,119,384.2,33.8,12
765,79,119,386.3,32.1,4
766,79,119,385.9,32.1,8
767,79,119,384.1,32.9,10
768,79,119,384.9,32.0,6
769,79,119,384.4,32.0,8
770,79,118,383.2,32.6,9
771,80,118,385.7,31.4,5
772,80,118,386.5,30.7,6
773,80,118,384.9,31.6,10
774,80,118,382.7,32.8,11
775,80,117,383.5,32.2,6
776,81,116,384.1,32.5,8
777,82,116,386.0,31.7,6
778,82,116,383.0,33.7,13
779,82,116,383.0,33.6,8
780,82,116,381.7,34.3,10
781,82,116,383.5,33.0,5
782,82,116,382.8,33.3,9
783,82,116,381.5,34.0,10
784,82,116,380.8,34.3,9
785,82,116,383.0,32.5,4
786,82,116,382.2,32.9,9
787,82,116,382.0,32.8,8
788,82,116,381.8,32.7,8
789,82,116,380.4,33.5,10
790,82,116,381.3,32.6,6
791,82,116,379.8,33.3,10
792,82,116,378.9,33.6,9
793,82,116,378.0,33.8,9
794,82,116,379.5,32.5,5
795,82,116,379.8,32.0,7
796,82,116,378.8,32.4,9
797,82,116,377.8,32.7,9
798,82,116,377.4,32.6,8
799,82,116,376.4,32.9,9
800,82,116,377.2,32.0,6
801,82,116,378.5,30.8,5
802,82,116,375.6,32.4,12
803,82,116,376.3,31.5,6
804,82,116,377.0,30.7,6
805,82,116,377.6,30.0,6
806,82,116,375.2,31.3,11
807,82,116,375.9,30.4,6
808,82,116,375.3,30.5,8
809,82,115,374.0,31.2,9
810,83,115,374.6,31.2,8
811,83,115,376.0,30.0,5
812,83,115,376.0,29.7,7
813,83,115,373.7,31.1,11
814,83,115,376.2,29.1,3
815,83,115,375.6,29.2,8
816,83,115,374.4,29.8,9
817,83,115,375.0,29.1,6
818,83,115,373.2,30.1,10
819,83,115,372.0,30.5,9
820,83,115,373.2,29.4,5
821,83,115,373.1,29.1,7
822,83,115,371.2,30.0,10
823,83,115,372.9,28.5,4
824,83,115,371.0,29.5,10
825,83,115,371.4,28.8,6
826,83,115,371.8,28.1,6
827,83,115,371.6,28.0,7
828,83,115,369.6,29.0,10
829,83,115,370.0,28.3,6
830,83,115,372.1,26.5,3
831,83,115,370.6,27.2,9
832,83,115,369.1,27.9,9
833,83,115,369.4,27.3,6
834,83,115,368.4,27.6,8
835,83,115,369.9,26.2,4
836,83,115,368.3,26.9,9
837,83,115,366.7,27.6,9
838,83,115,368.0,26.2,4
839,83,115,368.7,25.4,5
840,83,115,368.2,25.4,7
841,83,115,366.6,26.2,9
842,83,113,366.1,26.6,7
843,85,113,366.9,27.3,9
844,85,113,366.8,27.2,7
845,85,112,369.0,25.7,3
846,86,112,369.4,26.1,8
847,86,112,368.8,26.5,8
848,86,112,369.3,26.1,6
849,86,112,368.1,26.9,9
850,86,112,368.1,26.8,7
851,86,112,368.5,26.3,6
852,86,112,367.3,27.1,9
853,86,112,367.1,27.0,7
854,86,112,368.1,26.1,5
855,86,112,364.5,28.5,13
856,86,111,367.2,26.4,2
857,87,111,367.6,26.8,8
858,87,111,365.2,28.4,11
859,87,111,366.4,27.3,5
860,87,109,367.4,26.9,5
861,89,109,368.6,27.7,9
862,89,109,368.8,27.6,7
863,89,109,368.5,27.9,8
