tick,pop_republic,pop_empire,nukes_built,battles
399,50,150,0,26
400,50,150,0,99
401,50,150,0,29
402,50,150,0,22
403,50,150,0,102
404,50,150,0,26
405,50,150,0,22
406,50,150,0,103
407,50,150,0,25
408,50,150,0,25
409,50,150,0,113
410,50,150,0,12
411,50,150,0,25
412,50,150,0,113
413,50,150,0,12
414,50,150,0,25
415,50,150,0,113
416,50,150,0,12
417,50,150,0,25
418,50,150,0,112
419,50,150,0,13
420,50,150,0,25
421,50,150,0,112
422,50,150,0,13
423,50,150,0,25
424,50,150,0,112
425,50,150,0,10
426,50,150,0,28
427,50,150,0,110
428,50,150,0,12
429,50,150,0,23
430,50,150,0,115
431,50,150,0,12
432,50,150,0,22
433,50,150,0,103
434,50,150,0,15
435,50,150,0,30
436,50,150,0,105
437,50,150,0,15
438,50,150,0,14
439,50,150,0,21
440,50,150,0,115
441,50,150,0,12
442,50,150,0,23
443,50,150,0,99
444,50,150,0,23
445,50,150,0,24
446,50,150,0,101
447,50,150,0,14
448,50,150,0,16
449,50,150,0,50
450,50,150,0,78
451,50,150,0,17
452,50,150,0,24
453,50,150,0,103
454,50,150,0,13
455,50,150,0,26
456,50,150,0,39
457,50,150,0,79
458,50,150,0,15
459,50,150,0,30
460,50,150,0,101
461,50,150,0,5
462,50,150,0,33
463,50,150,0,36
464,50,150,0,78
465,50,150,0,6
466,50,150,0,46
467,50,150,0,90
468,50,150,0,9
469,50,150,0,7
470,50,150,0,44
471,50,150,0,73
472,50,150,0,25
473,50,150,0,9
474,50,150,0,43
475,50,150,0,72
476,50,150,0,26
477,50,150,0,9
478,50,150,0,44
479,50,150,0,71
480,49,150,0,25
481,50,150,0,11
482,50,150,0,45
483,50,150,0,70
484,49,150,0,29
485,50,150,0,9
486,50,150,0,49
487,50,150,0,66
488,50,150,0,25
489,50,150,0,12
490,50,150,0,48
491,50,150,0,67
492,50,150,0,23
493,50,150,0,19
494,50,150,0,41
495,50,150,0,67
496,50,150,0,22
497,50,150,0,18
498,50,150,0,45
499,50,150,0,65
500,50,150,0,22
501,50,150,0,16
502,50,150,0,41
503,50,150,0,70
504,50,150,0,23
505,50,150,0,16
506,50,150,0,41
507,50,150,0,70
508,50,150,0,22
509,50,150,0,16
510,50,150,0,40
511,50,150,0,67
512,50,150,0,5
513,50,150,0,32
514,50,150,0,27
515,50,150,0,20
516,50,150,0,71
517,50,150,0,29
518,50,150,0,29
519,50,150,0,17
520,50,150,0,67
521,50,150,0,17
522,50,150,0,35
523,50,150,0,18
524,50,150,0,12
525,50,150,0,75
526,50,150,0,15
527,50,150,0,45
528,50,150,0,10
529,50,150,0,68
530,50,150,0,17
531,50,150,0,15
532,50,150,0,40
533,50,150,0,10
534,50,150,0,72
535,50,150,0,6
536,50,150,0,27
537,50,150,0,35
538,50,150,0,18
539,50,150,0,67
540,50,150,0,6
541,50,150,0,22
542,50,150,0,37
543,50,150,0,18
544,50,150,0,66
545,50,150,0,7
546,50,150,0,18
547,50,150,0,42
548,50,150,0,17
549,50,150,0,66
550,50,150,0,4
551,50,150,0,15
552,50,150,0,45
553,50,150,0,19
554,50,150,0,62
555,50,150,0,8
556,50,150,0,12
557,50,150,0,20
558,50,150,0,37
559,50,150,0,25
560,50,150,0,50
561,50,150,0,17
562,50,150,0,13
563,50,150,0,9
564,50,150,0,49
565,50,150,0,12
566,50,150,0,68
567,50,150,0,0
568,50,150,0,13
569,50,150,0,8
570,50,150,0,58
571,50,150,0,62
572,50,150,0,9
573,50,150,0,1
574,50,150,0,17
575,50,150,0,13
576,50,150,0,49
577,50,150,0,13
578,50,150,0,58
579,50,150,0,7
580,50,150,0,10
581,50,150,0,13
582,50,150,0,40
583,50,150,0,21
584,50,150,0,58
585,50,150,0,1
586,50,150,0,14
587,50,150,0,16
588,50,150,0,39
589,50,150,0,11
590,50,150,0,14
591,50,150,0,55
592,50,150,0,13
593,50,150,0,14
594,50,150,0,3
595,50,150,0,50
596,50,150,0,6
597,50,150,0,54
598,50,150,0,16
599,50,150,0,10
600,50,150,0,11
601,50,150,0,3
602,50,150,0,51
603,50,150,0,5
604,50,150,0,49
605,50,150,0,5
606,50,150,0,24
607,50,150,0,11
608,50,150,0,23
609,50,150,0,31
610,50,150,0,8
611,50,150,0,48
612,50,150,0,2
613,50,150,0,16
614,50,150,0,20
615,50,150,0,22
616,50,150,0,12
617,50,150,0,27
618,50,150,0,2
619,50,150,0,51
620,50,150,0,9
621,50,150,0,4
622,50,150,0,22
623,50,150,0,23
624,50,150,0,15
625,50,150,0,24
626,50,150,0,0
627,50,150,0,54
628,50,150,0,7
629,50,150,0,5
630,50,150,0,17
631,50,150,0,21
632,50,150,0,9
633,50,150,0,11
634,50,150,0,25
635,50,150,0,5
636,50,150,0,0
637,50,150,0,58
638,50,150,0,5
639,50,150,0,15
640,50,150,0,13
641,50,150,0,11
642,50,150,0,11
643,50,150,0,13
644,50,150,0,23
645,50,150,0,1
