tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
243,194,50,0.5111,0.5070,0.8314
244,195,50,0.5145,0.5070,0.8314
245,191,50,0.5168,0.5070,0.8314
246,196,50,0.5135,0.5070,0.8314
247,193,50,0.5169,0.5070,0.8314
248,194,50,0.5214,0.5070,0.8314
249,197,50,0.5193,0.5070,0.8314
250,194,50,0.5182,0.5070,0.8314
251,193,50,0.5183,0.5070,0.8314
252,191,50,0.5184,0.5070,0.8314
253,199,50,0.5149,0.5070,0.8314
254,196,50,0.5170,0.5070,0.8314
255,196,50,0.5155,0.5070,0.8314
256,194,50,0.5169,0.5070,0.8314
257,193,50,0.5151,0.5070,0.8314
258,195,50,0.5169,0.5070,0.8314
259,197,50,0.5165,0.5070,0.8314
260,191,50,0.5214,0.5070,0.8314
261,200,50,0.5189,0.5070,0.8314
262,195,50,0.5166,0.5070,0.8314
263,195,50,0.5186,0.5070,0.8314
264,192,50,0.5270,0.5070,0.8314
265,195,50,0.5273,0.5070,0.8314
266,196,50,0.5252,0.5070,0.8314
267,195,50,0.5256,0.5070,0.8314
268,198,50,0.5262,0.5070,0.8314
269,198,50,0.5282,0.5070,0.8314
270,190,50,0.5261,0.5070,0.8314
271,196,50,0.5244,0.5070,0.8314
272,194,50,0.5224,0.5070,0.8314
273,193,50,0.5256,0.5070,0.8314
274,197,50,0.5271,0.5070,0.8314
275,195,50,0.5309,0.5070,0.8314
276,196,50,0.5331,0.5070,0.8314
277,189,50,0.5331,0.5070,0.8314
278,193,50,0.5365,0.5070,0.8314
279,195,50,0.5407,0.5070,0.8314
280,196,50,0.5414,0.5070,0.8314
281,198,50,0.5424,0.5070,0.8314
282,198,50,0.5418,0.5070,0.8314
283,194,50,0.5411,0.5070,0.8314
284,192,50,0.5401,0.5070,0.8314
285,195,50,0.5394,0.5070,0.8314
286,196,50,0.5412,0.5070,0.8314
287,192,50,0.5370,0.5070,0.8314
288,199,50,0.5341,0.5070,0.8314
289,197,50,0.5335,0.5070,0.8314
290,196,50,0.5316,0.5070,0.8314
291,191,50,0.5325,0.5070,0.8314
292,196,50,0.5326,0.5070,0.8314
293,196,50,0.5310,0.5070,0.8314
294,195,50,0.5310,0.5070,0.8314
295,194,50,0.5317,0.5070,0.8314
296,194,50,0.5312,0.5070,0.8314
297,196,50,0.5325,0.5070,0.8314
298,195,50,0.5334,0.5070,0.8314
299,196,50,0.5319,0.5070,0.8314
300,191,50,0.5340,0.5070,0.8314
301,191,50,0.5316,0.5070,0.8314
302,194,50,0.5327,0.5070,0.8314
303,195,50,0.5302,0.5070,0.8314
304,195,50,0.5273,0.5070,0.8314
305,196,50,0.5278,0.5070,0.8314
306,196,50,0.5313,0.5070,0.8314
307,196,50,0.5334,0.5070,0.8314
308,194,50,0.5317,0.5070,0.8314
309,194,50,0.5354,0.5070,0.8314
310,196,50,0.5339,0.5070,0.8314
311,198,50,0.5344,0.5070,0.8314
312,191,50,0.5329,0.5070,0.8314
313,197,50,0.5356,0.5070,0.8314
314,192,50,0.5337,0.5070,0.8314
315,198,50,0.5370,0.5070,0.8314
316,194,50,0.5343,0.5070,0.8314
317,194,50,0.5342,0.5070,0.8314
318,196,50,0.5306,0.5070,0.8314
319,195,50,0.5309,0.5070,0.8314
320,195,50,0.5315,0.5070,0.8314
321,193,50,0.5308,0.5070,0.8314
322,196,50,0.5305,0.5070,0.8314
323,194,50,0.5279,0.5070,0.8314
324,197,50,0.5319,0.5070,0.8314
325,192,50,0.5279,0.5070,0.8314
326,196,50,0.5299,0.5070,0.8314
327,195,50,0.5350,0.5070,0.8314
328,192,50,0.5296,0.5070,0.8314
329,194,50,0.5366,0.5070,0.8314
330,195,50,0.5287,0.5070,0.8314
331,197,50,0.5242,0.5070,0.8314
332,193,50,0.5216,0.5070,0.8314
333,197,50,0.5239,0.5070,0.8314
334,199,50,0.5234,0.5070,0.8314
335,195,50,0.5232,0.5070,0.8314
336,193,50,0.5245,0.5070,0.8314
337,195,50,0.5316,0.5070,0.8314
338,193,50,0.5365,0.5070,0.8314
339,192,50,0.5342,0.5070,0.8314
340,194,50,0.5304,0.5070,0.8314
341,193,50,0.5333,0.5070,0.8314
342,198,50,0.5378,0.5070,0.8314
343,197,50,0.5420,0.5070,0.8314
344,197,50,0.5445,0.5070,0.8314
345,192,50,0.5468,0.5070,0.8314
346,198,50,0.5442,0.5070,0.8314
347,190,50,0.5405,0.5070,0.8314
348,197,50,0.5415,0.5070,0.8314
349,189,50,0.5437,0.5070,0.8314
350,198,50,0.5464,0.5070,0.8314
351,193,50,0.5430,0.5070,0.8314
352,196,50,0.5462,0.5070,0.8314
353,194,50,0.5491,0.5070,0.8314
354,197,50,0.5504,0.5070,0.8314
355,198,50,0.5547,0.5070,0.8314
356,194,50,0.5575,0.5070,0.8314
357,197,50,0.5560,0.5070,0.8314
358,195,50,0.5544,0.5070,0.8314
359,191,50,0.5485,0.5070,0.8314
360,192,50,0.5474,0.5070,0.8314
361,196,50,0.5461,0.5070,0.8314
362,196,50,0.5503,0.5070,0.8314
363,197,50,0.5486,0.5070,0.8314
364,193,50,0.5466,0.5070,0.8314
365,193,50,0.5514,0.5070,0.8314
366,194,50,0.5524,0.5070,0.8314
367,193,50,0.5518,0.5070,0.8314
368,194,50,0.5486,0.5070,0.8314
369,198,50,0.5473,0.5070,0.8314
370,192,50,0.5550,0.5070,0.8314
371,199,50,0.5549,0.5070,0.8314
372,197,50,0.5554,0.5070,0.8314
373,198,50,0.5539,0.5070,0.8314
