Experimental_Cycle,Composition_Frequency_Pct,Random_Seed,Composition_Threshold,Maximum_Agent_Count,Initial_Agent_Count,Mean_Composition_Events,Bistable_Basin_Classification,Spawn_Accuracy_Percent,actual_freq_pct,actual_spawns,agent_count_mean,agent_count_std,avg_agent_count,avg_cycle_time_ms,avg_cycles_per_sec,basin_classifications,basin_threshold,composition_mean,cycles,cycles_completed,cycles_per_sec,cycles_per_second,database_condition,decomposition_mean,dist_A,dist_B,diversity,dominant,dominant_fraction,duration,elapsed_seconds,expected_spawns,fft_analysis,fft_peak_count_agents,fft_peak_count_composition,fft_peak_count_decomposition,fft_top_freqs_agents,fft_top_freqs_composition,fft_top_freqs_decomposition,fft_top_powers_agents,fft_top_powers_composition,fft_top_powers_decomposition,final_agent_count,final_agents,final_db_size_mb,final_memory_mb,fraction,initial_db_size_mb,initial_memory_mb,max_composition_events,memory_increase_mb,mult,peak_agents,protocol,runtime,spawn_count,spawn_freq_pct,spawn_interval_cycles,spawning_freq,spread
133,,,700,,,,A,,,,,,,,,,,,,,107.46219709164251,,,,0.3536156795364143,0.3878739790460299,0.06,"[6.245486, 6.243716, 5.930525]",,27.916793823242188,,,,,,,,,,,,,,,,,1.0,,,,,0.6,,,,,,,,0.1
133,,,700,,,,A,,,,,,,,,,,,,,107.61226503782025,,,,0.3681308713881521,0.3813787940801116,0.1,"[6.220353, 6.22197, 5.917581]",,27.87786316871643,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1
133,,,700,,,,B,,,,,,,,,,,,,,107.4854820975839,,,,0.3203080485688736,0.13696861258332127,0.15,"[6.157522, 5.962174, 6.257087]",,27.910746097564697,,,,,,,,,,,,,,,,,1.0,,,,,1.4999999999999998,,,,,,,,0.1
133,,,700,,,,B,,,,,,,,,,,,,,107.55794988993675,,,,0.3554658885153398,0.15224338912740978,0.25,"[6.126106, 5.934991, 6.240906]",,27.89194107055664,,,,,,,,,,,,,,,,,1.0,,,,,2.5,,,,,,,,0.1
133,,,700,,,,B,,,,,,,,,,,,,,107.27212844557643,,,,0.28777408117653674,0.13534443580731342,0.35,"[6.188938, 5.989357, 6.273267]",,27.96625781059265,,,,,,,,,,,,,,,,,1.0,,,,,3.4999999999999996,,,,,,,,0.1
133,,,700,,,,B,,,,,,,,,,,,,,86.39877348176714,,,,0.3967197753805577,0.24003992665179702,0.45,"[6.220353, 5.8793, 6.257664]",,34.72271513938904,,,,,,,,,,,,,,,,,1.0,,,,,4.5,,,,,,,,0.1
135,,,625,,,,B,,,,,,,,,,,,,,1701.713491275665,,,,7.710411744265607,7.515622718025034,0.08,"[1.784425, 2.08764, 1.566257]",,1.7629289627075195,,,,,,,,,,,,,,,,,0.2,,,,,0.7999999999999999,,,,,,,,0.1
135,,,625,,,,B,,,,,,,,,,,,,,1716.6094414043146,,,,7.744604797881297,7.549673259171485,0.1,"[1.759292, 2.065894, 1.553313]",,1.7476310729980469,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
135,,,625,,,,B,,,,,,,,,,,,,,1715.227449501786,,,,7.778811694226182,7.5837392773514445,0.12,"[1.734159, 2.044148, 1.540368]",,1.7490391731262207,,,,,,,,,,,,,,,,,0.2,,,,,1.2,,,,,,,,0.1
135,,,625,,,,B,,,,,,,,,,,,,,1723.7526918840722,,,,7.8130310394071145,7.617819330139697,0.14,"[1.709026, 2.022402, 1.527424]",,1.7403888702392578,,,,,,,,,,,,,,,,,0.2,,,,,1.4000000000000001,,,,,,,,0.1
135,,,650,,,,B,,,,,,,,,,,,,,1688.730773659642,,,,7.710411744265607,7.515622718025034,0.08,"[1.784425, 2.08764, 1.566257]",,1.776482105255127,,,,,,,,,,,,,,,,,0.2,,,,,0.7999999999999999,,,,,,,,0.1
135,,,650,,,,B,,,,,,,,,,,,,,1716.2404428348677,,,,7.744604797881297,7.549673259171485,0.1,"[1.759292, 2.065894, 1.553313]",,1.748006820678711,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
135,,,650,,,,B,,,,,,,,,,,,,,1709.4036879525117,,,,7.778811694226182,7.5837392773514445,0.12,"[1.734159, 2.044148, 1.540368]",,1.754997968673706,,,,,,,,,,,,,,,,,0.2,,,,,1.2,,,,,,,,0.1
135,,,650,,,,B,,,,,,,,,,,,,,1719.1188999748067,,,,7.8130310394071145,7.617819330139697,0.14,"[1.709026, 2.022402, 1.527424]",,1.7450799942016602,,,,,,,,,,,,,,,,,0.2,,,,,1.4000000000000001,,,,,,,,0.1
135,,,675,,,,B,,,,,,,,,,,,,,1727.6995717724621,,,,7.710411744265607,7.515622718025034,0.08,"[1.784425, 2.08764, 1.566257]",,1.7364130020141602,,,,,,,,,,,,,,,,,0.2,,,,,0.7999999999999999,,,,,,,,0.1
135,,,675,,,,B,,,,,,,,,,,,,,1711.9202892339692,,,,7.744604797881297,7.549673259171485,0.1,"[1.759292, 2.065894, 1.553313]",,1.752418041229248,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
135,,,675,,,,B,,,,,,,,,,,,,,1710.6404811633145,,,,7.778811694226182,7.5837392773514445,0.12,"[1.734159, 2.044148, 1.540368]",,1.7537291049957275,,,,,,,,,,,,,,,,,0.2,,,,,1.2,,,,,,,,0.1
135,,,675,,,,B,,,,,,,,,,,,,,1726.984879889784,,,,7.8130310394071145,7.617819330139697,0.14,"[1.709026, 2.022402, 1.527424]",,1.7371315956115723,,,,,,,,,,,,,,,,,0.2,,,,,1.4000000000000001,,,,,,,,0.1
135,,,700,,,,B,,,,,,,,,,,,,,1705.99262742463,,,,7.710411744265607,7.515622718025034,0.08,"[1.784425, 2.08764, 1.566257]",,1.7585070133209229,,,,,,,,,,,,,,,,,0.2,,,,,0.7999999999999999,,,,,,,,0.1
135,,,700,,,,B,,,,,,,,,,,,,,1716.1912862209185,,,,7.744604797881297,7.549673259171485,0.1,"[1.759292, 2.065894, 1.553313]",,1.7480568885803223,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
